engine,asset_class,score_group,symbol,regime,timeframe_style,parameter_set,trade_count,pass_count,fail_count,win_rate,expectancy,max_drawdown,sqn,average_rr_achieved,level_mode,fallback_tp_applied,sample_size_warning,robust_rank_score,sample_period,split_label,parameter_variants_tested,threshold_candidate,threshold_filter_applied,raw_source_count,admitted_count,excluded_by_threshold_count,threshold_filter_reason,parameters
ENGINE_A,,,NASDAQ-100,LOW_VOLATILITY,swing,engine_a_9e0e9b16e0,2,2,0,1.0,1.975,,,1.975,,,True,0.29625,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 12.0, ""adx_trend_min"": 22.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.025, ""volatility_scaler_low"": 0.005}"
ENGINE_A,,,NASDAQ-100,LOW_VOLATILITY,swing,engine_a_0786ab053e,2,2,0,1.0,1.975,,,1.975,,,True,0.29625,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 22.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.025, ""volatility_scaler_low"": 0.005}"
ENGINE_A,,,NASDAQ-100,LOW_VOLATILITY,swing,engine_a_47614b9290,2,2,0,1.0,1.975,,,1.975,,,True,0.29625,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 18.0, ""adx_trend_min"": 22.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.025, ""volatility_scaler_low"": 0.005}"
ENGINE_A,,,NASDAQ-100,LOW_VOLATILITY,swing,engine_a_45943c6160,2,2,0,1.0,1.975,,,1.975,,,True,0.29625,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 12.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.025, ""volatility_scaler_low"": 0.005}"
ENGINE_A,,,NASDAQ-100,LOW_VOLATILITY,swing,engine_a_43d6f1c8a4,2,2,0,1.0,1.975,,,1.975,,,True,0.29625,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.025, ""volatility_scaler_low"": 0.005}"
ENGINE_A,,,NASDAQ-100,LOW_VOLATILITY,swing,engine_a_c38fbf3d85,2,2,0,1.0,1.975,,,1.975,,,True,0.29625,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 18.0, ""adx_trend_min"": 25.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.025, ""volatility_scaler_low"": 0.005}"
ENGINE_A,,,NASDAQ-100,LOW_VOLATILITY,swing,engine_a_f182b0faa6,2,2,0,1.0,1.975,,,1.975,,,True,0.29625,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 12.0, ""adx_trend_min"": 28.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.025, ""volatility_scaler_low"": 0.005}"
ENGINE_A,,,NASDAQ-100,LOW_VOLATILITY,swing,engine_a_b817f3206d,2,2,0,1.0,1.975,,,1.975,,,True,0.29625,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 15.0, ""adx_trend_min"": 28.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.025, ""volatility_scaler_low"": 0.005}"
ENGINE_A,,,NASDAQ-100,LOW_VOLATILITY,swing,engine_a_bf31182245,2,2,0,1.0,1.975,,,1.975,,,True,0.29625,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 18.0, ""adx_trend_min"": 28.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.025, ""volatility_scaler_low"": 0.005}"
ENGINE_A,,,TRX/USDT,LOW_VOLATILITY,intraday,engine_a_9e0e9b16e0,1,1,0,1.0,1.18,,,1.18,,,True,0.0885,unspecified,unspecified,9,1.5,True,276,218,58,score_gte_candidate_threshold,"{""adx_hard_fail"": 12.0, ""adx_trend_min"": 22.0, ""directional_ramp_full"": 0.45, ""directional_ramp_min"": 0.25, ""score_group_threshold_default"": 1.5, ""volatility_scaler_high"": 0.025, ""volatility_scaler_low"": 0.005}"
