symbol,win_rate_mean,win_rate_count,profit_factor_mean,profit_factor_count,expectancy_mean,expectancy_count,sharpe_mean,sharpe_count,sqn_mean,sqn_count,net_return_mean,net_return_count,oos_return_mean,oos_return_count,robustness_score_mean,robustness_score_count,trade_count_mean,trade_count_count
AAPL,0.435673,10,1.208815,10,0.001072,10,0.216438,10,0.337885,10,0.027342,10,-0.076664,10,0.390200,10,31.700000,10
AUD/USD,0.430947,20,1.463233,20,0.001122,20,0.363970,20,0.736967,20,0.039584,20,-0.004967,20,0.410273,20,30.700000,20
BTC/USDT,0.492915,10,1.538284,10,0.004928,10,0.485889,10,0.981053,10,0.251807,10,-0.073108,10,0.480152,10,47.500000,10
ETH/USDT,0.460302,18,1.381280,18,0.002910,18,0.296727,18,0.605056,18,0.089199,18,-0.033176,18,0.473140,18,48.166667,18
EUR/USD,0.445309,9,1.050981,9,0.000078,9,0.059916,9,0.119510,9,0.003034,9,-0.012752,9,0.467292,9,46.555556,9
GBP/USD,0.402930,2,1.388451,2,0.000369,2,0.317147,2,0.639124,2,0.008529,2,0.000055,2,0.507250,2,23.500000,2
GER40,0.422389,15,1.403650,15,0.001275,15,0.317135,15,0.639966,15,0.042315,15,-0.012350,15,0.435633,15,46.000000,15
MSFT,0.388787,6,1.273394,6,0.001852,6,0.463200,6,0.523420,6,0.100782,6,0.027495,6,0.517136,6,51.333333,6
NAS100,0.413834,9,1.519288,9,0.001465,9,0.319961,9,0.674498,9,0.052954,9,0.017771,9,0.517568,9,40.000000,9
NVDA,0.528346,5,1.155501,5,0.001502,5,0.223433,5,0.252654,5,0.026892,5,-0.001748,5,0.496694,5,28.800000,5
SOL/USDT,0.579375,6,1.673569,6,0.007372,6,0.467460,6,0.956920,6,0.282747,6,0.067931,6,0.493275,6,102.833333,6
US500,0.416236,8,1.373910,8,0.000958,8,0.279569,8,0.570459,8,0.030170,8,0.012070,8,0.457496,8,42.875000,8
USD/JPY,0.393932,5,1.113507,5,0.000284,5,0.142287,5,0.284029,5,0.017295,5,-0.058975,5,0.500000,5,75.200000,5
WTI Oil,0.436770,15,1.963911,15,0.002793,15,0.436152,15,0.792607,15,0.106405,15,-0.026053,15,0.401600,15,38.600000,15
XAG/USD,0.333033,18,1.680224,18,0.011285,18,0.426917,18,0.862213,18,0.348127,18,-0.046768,18,0.457242,18,50.444444,18
XAU/USD,0.368971,17,1.604456,17,0.003287,17,0.349835,17,0.716709,17,0.124345,17,-0.011632,17,0.491081,17,58.352941,17
