strategy_name,total_configs,strong,weak,reject,avg_net_return,avg_win_rate,avg_robustness,avg_sqn,avg_oos_return,total_trades,pass_rate,verdict
rsi_extreme,60,0,1,0,0.052353,0.714286,0.982842,1.096020,0.029001,680,0.016667,HELPS
ny_breakout,30,0,0,2,-0.141949,0.200000,0.961976,-1.514814,-0.077477,278,0.000000,HURTS
london_breakout,30,0,0,2,-0.125185,0.250000,0.958358,-1.456310,-0.043986,403,0.000000,HURTS
prev_day_hl,45,0,6,12,-0.118827,0.341437,0.792230,-0.702358,-0.146316,976,0.133333,HURTS
ob_bos,120,0,0,20,-0.268376,0.272721,0.783874,-1.556679,-0.071235,1632,0.000000,HURTS
ema_cross,540,0,0,218,-0.218190,0.195609,0.701148,-1.708250,-0.095330,9912,0.000000,HURTS
macd_direction,30,1,5,24,-0.184599,0.324358,0.586021,-1.174412,-0.110919,2301,0.200000,HURTS
structure_filters,60,0,6,47,-0.196884,0.281277,0.522694,-2.751950,-0.064966,8273,0.100000,HURTS
pullback_ema,60,0,8,52,-0.113906,0.168233,0.504916,-1.544533,-0.070210,3241,0.133333,HURTS
bollinger_touch,30,4,9,17,0.079193,0.639098,0.487807,-0.010453,0.052633,941,0.433333,HELPS
ema_alignment,45,0,4,36,-0.066949,0.189327,0.461591,-1.182192,-0.058986,1156,0.088889,HURTS
session_opening_range,60,0,4,56,-0.104463,0.305785,0.436680,-0.860317,-0.077443,2685,0.066667,HURTS
vwap_deviation,30,0,0,0,,,,,,283,0.000000,NEUTRAL
