strategy_name,total_configs,strong,weak,reject,avg_net_return,avg_win_rate,avg_robustness,avg_sqn,avg_oos_return,total_trades,pass_rate,verdict
london_breakout,24,0,0,2,-0.018483,0.307692,0.946926,-0.566402,-0.012769,407,0.000000,HURTS
prev_day_hl,36,0,6,6,0.000096,0.400927,0.819500,-0.025871,-0.028158,594,0.166667,HURTS
ob_bos,96,0,0,17,-0.050931,0.226352,0.697518,-2.683320,-0.019833,1345,0.000000,HURTS
ema_cross,432,0,2,127,-0.045213,0.188436,0.640753,-2.541624,-0.020296,6926,0.004630,HURTS
macd_direction,24,0,4,20,-0.051211,0.281038,0.588180,-3.009248,-0.028509,1744,0.166667,HURTS
session_opening_range,48,0,6,42,-0.037190,0.286798,0.499226,-2.459258,-0.023821,2234,0.125000,HURTS
pullback_ema,48,0,0,48,-0.052858,0.142248,0.491475,-4.376309,-0.023040,2487,0.000000,HURTS
structure_filters,48,0,2,46,-0.143687,0.188509,0.465209,-7.931235,-0.042173,7207,0.041667,HURTS
bollinger_touch,24,0,2,20,-0.020170,0.496358,0.408977,-1.253511,0.004172,712,0.083333,HELPS
ema_alignment,36,0,0,35,-0.040205,0.157858,0.366534,-2.634288,-0.014308,937,0.000000,HURTS
ny_breakout,24,0,0,0,,,,,,226,0.000000,NEUTRAL
rsi_extreme,48,0,0,0,,,,,,552,0.000000,NEUTRAL
vwap_deviation,24,0,0,0,,,,,,250,0.000000,NEUTRAL
