strategy_name,total_configs,strong,weak,reject,avg_net_return,avg_win_rate,avg_robustness,avg_sqn,avg_oos_return,total_trades,pass_rate,verdict
rsi_extreme,60,0,1,0,0.049952,0.714286,0.979913,1.050460,0.029001,686,0.016667,HELPS
ny_breakout,30,0,0,2,-0.141949,0.200000,0.961976,-1.514814,-0.077477,290,0.000000,HURTS
prev_day_hl,45,0,6,12,-0.128536,0.341997,0.792884,-0.783902,-0.118661,994,0.133333,HURTS
ob_bos,120,0,0,19,-0.278605,0.273529,0.792172,-1.567339,-0.071746,1652,0.000000,HURTS
ema_cross,540,0,0,229,-0.245084,0.181985,0.707282,-2.265607,-0.093811,9979,0.000000,HURTS
macd_direction,30,1,7,22,-0.196598,0.319928,0.613266,-1.286767,-0.115107,2290,0.266667,HURTS
structure_filters,60,1,6,46,-0.195641,0.281084,0.531921,-2.760838,-0.060986,8283,0.116667,HURTS
bollinger_touch,30,4,9,16,0.083682,0.645103,0.518568,0.036407,0.055115,939,0.433333,HELPS
pullback_ema,60,0,6,54,-0.138547,0.159852,0.507225,-1.894961,-0.066854,3243,0.100000,HURTS
session_opening_range,60,0,4,56,-0.106665,0.308165,0.453806,-0.870864,-0.074400,2689,0.066667,HURTS
ema_alignment,45,0,2,39,-0.094341,0.172398,0.406288,-1.868079,-0.054773,1167,0.044444,HURTS
london_breakout,30,0,0,0,,,,,,391,0.000000,NEUTRAL
vwap_deviation,30,0,0,0,,,,,,274,0.000000,NEUTRAL
