strategy_name,total_configs,strong,weak,reject,avg_net_return,avg_win_rate,avg_robustness,avg_sqn,avg_oos_return,total_trades,pass_rate,verdict
london_breakout,24,0,0,2,-0.018483,0.307692,0.946926,-0.566402,-0.012769,407,0.000000,HURTS
prev_day_hl,36,0,6,6,0.000096,0.400927,0.819500,-0.025871,-0.028158,594,0.166667,HURTS
ob_bos,96,0,0,16,-0.052491,0.218624,0.718829,-2.711146,-0.019979,1342,0.000000,HURTS
ema_cross,432,0,4,123,-0.044620,0.186681,0.647614,-2.598068,-0.020080,6919,0.009259,HURTS
macd_direction,24,0,4,20,-0.050491,0.282129,0.586046,-2.958186,-0.027816,1741,0.166667,HURTS
session_opening_range,48,0,8,40,-0.036679,0.288167,0.514273,-2.417613,-0.023904,2226,0.166667,HURTS
pullback_ema,48,0,0,47,-0.053473,0.140985,0.507086,-4.480108,-0.023500,2483,0.000000,HURTS
structure_filters,48,0,2,46,-0.143512,0.188575,0.463906,-7.911291,-0.041981,7200,0.041667,HURTS
bollinger_touch,24,0,2,20,-0.019678,0.497076,0.414004,-1.227153,0.004194,711,0.083333,HELPS
ema_alignment,36,0,0,33,-0.039884,0.157891,0.406948,-2.496791,-0.014910,922,0.000000,HURTS
ny_breakout,24,0,0,0,,,,,,222,0.000000,NEUTRAL
rsi_extreme,48,0,0,0,,,,,,556,0.000000,NEUTRAL
vwap_deviation,24,0,0,0,,,,,,252,0.000000,NEUTRAL
