run_id,symbol,asset_class,timeframe,family,strategy_name,params_str,direction,session,status,trade_count,win_rate,profit_factor,avg_return,expectancy,max_drawdown,sharpe,sqn,exposure_pct,avg_duration_bars,gross_return,net_return,is_return,oos_return,robustness_score,param_sensitivity,skip_reason,data_source
run_20260427_184929_704c27,USD/CAD,forex,H1,breakout,prev_day_hl,atr_expand_min=0.0,both,all,NEEDS_MORE_DATA,8,,,,,,,,,,,,,,,,only 8 trades < min 20,mt5
run_20260427_184929_704c27,USD/CAD,forex,H1,breakout,prev_day_hl,atr_expand_min=0.5,both,all,NEEDS_MORE_DATA,8,,,,,,,,,,,,,,,,only 8 trades < min 20,mt5
run_20260427_184929_704c27,USD/CAD,forex,H1,breakout,prev_day_hl,atr_expand_min=1.0,both,all,NEEDS_MORE_DATA,7,,,,,,,,,,,,,,,,only 7 trades < min 20,mt5
run_20260427_184929_704c27,USD/CAD,forex,H1,breakout,session_opening_range,atr_expand_min=0.0|range_bars=6,both,all,REJECT,44,0.204545,0.496756,-0.000824,-0.000824,-0.035862,-4.026308,-1.687058,0.044044,21.704545,-0.035862,-0.035862,-0.024833,-0.007947,0.460001,,,mt5
run_20260427_184929_704c27,USD/CAD,forex,H1,breakout,session_opening_range,atr_expand_min=0.5|range_bars=6,both,all,REJECT,42,0.214286,0.529380,-0.000758,-0.000758,-0.031565,-3.565790,-1.486005,0.042042,22.547619,-0.031565,-0.031565,-0.020487,-0.007947,0.468366,,,mt5
run_20260427_184929_704c27,USD/CAD,forex,H1,breakout,session_opening_range,atr_expand_min=0.0|range_bars=12,both,all,REJECT,23,0.391304,0.902003,-0.000150,-0.000150,-0.013278,-0.471447,-0.191852,0.023023,40.434783,-0.003617,-0.003617,-0.002837,-0.004164,0.498186,,,mt5
run_20260427_184929_704c27,USD/CAD,forex,H1,breakout,session_opening_range,atr_expand_min=0.5|range_bars=12,both,all,REJECT,23,0.391304,0.902003,-0.000150,-0.000150,-0.013278,-0.471447,-0.191852,0.023023,40.434783,-0.003617,-0.003617,-0.002837,-0.004164,0.498186,,,mt5
run_20260427_184929_704c27,USD/CAD,forex,H1,breakout,london_breakout,atr_expand_min=0.0|utc_end=11|utc_start=7,both,all,NEEDS_MORE_DATA,15,,,,,,,,,,,,,,,,only 15 trades < min 20,mt5
run_20260427_184929_704c27,USD/CAD,forex,H1,breakout,london_breakout,atr_expand_min=0.5|utc_end=11|utc_start=7,both,all,NEEDS_MORE_DATA,15,,,,,,,,,,,,,,,,only 15 trades < min 20,mt5
run_20260427_184929_704c27,USD/CAD,forex,H1,breakout,ny_breakout,atr_expand_min=0.0|utc_end=16|utc_start=13,both,all,NEEDS_MORE_DATA,16,,,,,,,,,,,,,,1.000000,,only 16 trades < min 20,mt5
run_20260427_184929_704c27,USD/CAD,forex,H1,breakout,ny_breakout,atr_expand_min=0.5|utc_end=16|utc_start=13,both,all,NEEDS_MORE_DATA,16,,,,,,,,,,,,,,,,only 16 trades < min 20,mt5
run_20260427_184929_704c27,USD/CAD,forex,H1,pullback,pullback_ema,pullback_period=20|rsi_reclaim=False|rsi_threshold=50|trend_period=200,both,all,REJECT,80,0.100000,0.257921,-0.000934,-0.000934,-0.072200,-9.628084,-4.313565,0.080080,7.512500,-0.072200,-0.072200,-0.062868,-0.009957,0.447516,,,mt5
run_20260427_184929_704c27,USD/CAD,forex,H1,pullback,pullback_ema,pullback_period=20|rsi_reclaim=True|rsi_threshold=50|trend_period=200,both,all,REJECT,73,0.109589,0.282447,-0.000904,-0.000904,-0.064043,-8.625399,-3.818147,0.073073,7.945205,-0.064043,-0.064043,-0.056244,-0.008264,0.444079,,,mt5
run_20260427_184929_704c27,USD/CAD,forex,H1,pullback,pullback_ema,pullback_period=50|rsi_reclaim=False|rsi_threshold=50|trend_period=200,both,all,REJECT,49,0.142857,0.410247,-0.000768,-0.000768,-0.045870,-5.149374,-2.189065,0.049049,13.632653,-0.037103,-0.037103,-0.037113,0.000011,0.394000,,,mt5
run_20260427_184929_704c27,USD/CAD,forex,H1,pullback,pullback_ema,pullback_period=50|rsi_reclaim=True|rsi_threshold=50|trend_period=200,both,all,REJECT,35,0.142857,0.429842,-0.000793,-0.000793,-0.034232,-4.063934,-1.718453,0.035035,13.342857,-0.027527,-0.027527,-0.025368,-0.002215,0.336190,,,mt5
run_20260427_184929_704c27,GBP/JPY,forex,H1,breakout,prev_day_hl,atr_expand_min=0.0,both,all,NEEDS_MORE_DATA,9,,,,,,,,,,,,,,,,only 9 trades < min 20,mt5
run_20260427_184929_704c27,GBP/JPY,forex,H1,breakout,prev_day_hl,atr_expand_min=0.5,both,all,NEEDS_MORE_DATA,9,,,,,,,,,,,,,,,,only 9 trades < min 20,mt5
run_20260427_184929_704c27,GBP/JPY,forex,H1,breakout,prev_day_hl,atr_expand_min=1.0,both,all,NEEDS_MORE_DATA,8,,,,,,,,,,,,,,,,only 8 trades < min 20,mt5
run_20260427_184929_704c27,GBP/JPY,forex,H1,breakout,session_opening_range,atr_expand_min=0.0|range_bars=6,both,all,REJECT,60,0.200000,0.219366,-0.001825,-0.001825,-0.104024,-10.640480,-5.146680,0.060060,15.700000,-0.104024,-0.104024,-0.077056,-0.031971,0.524472,,,mt5
run_20260427_184929_704c27,GBP/JPY,forex,H1,breakout,session_opening_range,atr_expand_min=0.5|range_bars=6,both,all,REJECT,59,0.186441,0.214306,-0.001866,-0.001866,-0.104518,-10.707451,-5.212585,0.059059,15.745763,-0.104518,-0.104518,-0.077565,-0.031971,0.523655,,,mt5
run_20260427_184929_704c27,GBP/JPY,forex,H1,breakout,session_opening_range,atr_expand_min=0.0|range_bars=12,both,all,REJECT,27,0.185185,0.518584,-0.001242,-0.001242,-0.033319,-3.129865,-1.311533,0.027027,35.111111,-0.033319,-0.033319,-0.032548,-0.011777,0.370547,,,mt5
run_20260427_184929_704c27,GBP/JPY,forex,H1,breakout,session_opening_range,atr_expand_min=0.5|range_bars=12,both,all,REJECT,27,0.185185,0.518584,-0.001242,-0.001242,-0.033319,-3.129865,-1.311533,0.027027,35.111111,-0.033319,-0.033319,-0.032548,-0.011777,0.370547,,,mt5
run_20260427_184929_704c27,GBP/JPY,forex,H1,breakout,london_breakout,atr_expand_min=0.0|utc_end=11|utc_start=7,both,all,NEEDS_MORE_DATA,19,,,,,,,,,,,,,,,,only 19 trades < min 20,mt5
run_20260427_184929_704c27,GBP/JPY,forex,H1,breakout,london_breakout,atr_expand_min=0.5|utc_end=11|utc_start=7,both,all,NEEDS_MORE_DATA,19,,,,,,,,,,,,,,,,only 19 trades < min 20,mt5
run_20260427_184929_704c27,GBP/JPY,forex,H1,breakout,ny_breakout,atr_expand_min=0.0|utc_end=16|utc_start=13,both,all,NEEDS_MORE_DATA,10,,,,,,,,,,,,,,1.000000,,only 10 trades < min 20,mt5
run_20260427_184929_704c27,GBP/JPY,forex,H1,breakout,ny_breakout,atr_expand_min=0.5|utc_end=16|utc_start=13,both,all,NEEDS_MORE_DATA,10,,,,,,,,,,,,,,,,only 10 trades < min 20,mt5
run_20260427_184929_704c27,GBP/JPY,forex,H1,pullback,pullback_ema,pullback_period=20|rsi_reclaim=False|rsi_threshold=50|trend_period=200,both,all,REJECT,78,0.089744,0.144754,-0.001247,-0.001247,-0.092804,-14.035002,-7.277033,0.078078,6.820513,-0.092804,-0.092804,-0.081253,-0.017144,0.463297,,,mt5
run_20260427_184929_704c27,GBP/JPY,forex,H1,pullback,pullback_ema,pullback_period=20|rsi_reclaim=True|rsi_threshold=50|trend_period=200,both,all,REJECT,73,0.095890,0.164195,-0.001162,-0.001162,-0.081429,-12.993008,-6.575555,0.073073,7.095890,-0.081429,-0.081429,-0.070732,-0.016086,0.468227,,,mt5
run_20260427_184929_704c27,GBP/JPY,forex,H1,pullback,pullback_ema,pullback_period=50|rsi_reclaim=False|rsi_threshold=50|trend_period=200,both,all,REJECT,56,0.017857,0.098420,-0.001639,-0.001639,-0.087867,-12.484894,-6.750481,0.056056,8.946429,-0.087867,-0.087867,-0.071225,-0.017919,0.475474,,,mt5
run_20260427_184929_704c27,GBP/JPY,forex,H1,pullback,pullback_ema,pullback_period=50|rsi_reclaim=True|rsi_threshold=50|trend_period=200,both,all,REJECT,40,0.025000,0.141012,-0.001557,-0.001557,-0.060507,-9.324236,-4.684725,0.040040,11.275000,-0.060507,-0.060507,-0.050262,-0.010787,0.404384,,,mt5
run_20260427_184929_704c27,NZD/USD,forex,H1,breakout,prev_day_hl,atr_expand_min=0.0,both,all,NEEDS_MORE_DATA,12,,,,,,,,,,,,,,,,only 12 trades < min 20,mt5
run_20260427_184929_704c27,NZD/USD,forex,H1,breakout,prev_day_hl,atr_expand_min=0.5,both,all,NEEDS_MORE_DATA,12,,,,,,,,,,,,,,,,only 12 trades < min 20,mt5
run_20260427_184929_704c27,NZD/USD,forex,H1,breakout,prev_day_hl,atr_expand_min=1.0,both,all,NEEDS_MORE_DATA,11,,,,,,,,,,,,,,,,only 11 trades < min 20,mt5
run_20260427_184929_704c27,NZD/USD,forex,H1,breakout,session_opening_range,atr_expand_min=0.0|range_bars=6,both,all,REJECT,61,0.295082,0.467187,-0.001520,-0.001520,-0.089261,-5.832131,-2.481322,0.061061,15.950820,-0.089261,-0.089261,-0.069048,-0.023327,0.501351,,,mt5
run_20260427_184929_704c27,NZD/USD,forex,H1,breakout,session_opening_range,atr_expand_min=0.5|range_bars=6,both,all,REJECT,59,0.305085,0.484899,-0.001468,-0.001468,-0.083638,-5.475646,-2.320142,0.059059,16.237288,-0.083638,-0.083638,-0.065423,-0.021110,0.496800,,,mt5
run_20260427_184929_704c27,NZD/USD,forex,H1,breakout,session_opening_range,atr_expand_min=0.0|range_bars=12,both,all,REJECT,31,0.322581,0.683208,-0.000935,-0.000935,-0.042676,-1.903908,-0.781532,0.031031,30.645161,-0.029254,-0.029254,0.007342,-0.030678,0.286000,,,mt5
run_20260427_184929_704c27,NZD/USD,forex,H1,breakout,session_opening_range,atr_expand_min=0.5|range_bars=12,both,all,REJECT,31,0.322581,0.638292,-0.001068,-0.001068,-0.046552,-2.262410,-0.932368,0.031031,30.225806,-0.033185,-0.033185,0.003263,-0.030678,0.286000,,,mt5
run_20260427_184929_704c27,NZD/USD,forex,H1,breakout,london_breakout,atr_expand_min=0.0|utc_end=11|utc_start=7,both,all,NEEDS_MORE_DATA,16,,,,,,,,,,,,,,,,only 16 trades < min 20,mt5
run_20260427_184929_704c27,NZD/USD,forex,H1,breakout,london_breakout,atr_expand_min=0.5|utc_end=11|utc_start=7,both,all,NEEDS_MORE_DATA,15,,,,,,,,,,,,,,,,only 15 trades < min 20,mt5
run_20260427_184929_704c27,NZD/USD,forex,H1,breakout,ny_breakout,atr_expand_min=0.0|utc_end=16|utc_start=13,both,all,NEEDS_MORE_DATA,17,,,,,,,,,,,,,,1.000000,,only 17 trades < min 20,mt5
run_20260427_184929_704c27,NZD/USD,forex,H1,breakout,ny_breakout,atr_expand_min=0.5|utc_end=16|utc_start=13,both,all,NEEDS_MORE_DATA,17,,,,,,,,,,,,,,,,only 17 trades < min 20,mt5
run_20260427_184929_704c27,NZD/USD,forex,H1,pullback,pullback_ema,pullback_period=20|rsi_reclaim=False|rsi_threshold=50|trend_period=200,both,all,REJECT,53,0.226415,0.652170,-0.000629,-0.000629,-0.037989,-2.787623,-1.146757,0.053053,10.433962,-0.033218,-0.033218,-0.013433,-0.022676,0.493585,,,mt5
run_20260427_184929_704c27,NZD/USD,forex,H1,pullback,pullback_ema,pullback_period=20|rsi_reclaim=True|rsi_threshold=50|trend_period=200,both,all,REJECT,43,0.255814,0.748632,-0.000447,-0.000447,-0.032343,-1.747306,-0.714524,0.043043,11.581395,-0.019397,-0.019397,-0.001270,-0.020777,0.358000,,,mt5
run_20260427_184929_704c27,NZD/USD,forex,H1,pullback,pullback_ema,pullback_period=50|rsi_reclaim=False|rsi_threshold=50|trend_period=200,both,all,REJECT,40,0.125000,0.384032,-0.001489,-0.001489,-0.058190,-5.169275,-2.223122,0.040040,12.975000,-0.058190,-0.058190,-0.039682,-0.019272,0.485699,,,mt5
run_20260427_184929_704c27,NZD/USD,forex,H1,pullback,pullback_ema,pullback_period=50|rsi_reclaim=True|rsi_threshold=50|trend_period=200,both,all,REJECT,33,0.121212,0.482288,-0.001190,-0.001190,-0.038839,-3.706457,-1.559947,0.033033,15.000000,-0.038839,-0.038839,-0.021216,-0.018005,0.552585,,,mt5
run_20260427_184929_704c27,XAU/USD,commodity,H1,breakout,prev_day_hl,atr_expand_min=0.0,both,all,NEEDS_MORE_DATA,11,,,,,,,,,,,,,,,,only 11 trades < min 20,mt5
run_20260427_184929_704c27,XAU/USD,commodity,H1,breakout,prev_day_hl,atr_expand_min=0.5,both,all,NEEDS_MORE_DATA,11,,,,,,,,,,,,,,,,only 11 trades < min 20,mt5
run_20260427_184929_704c27,XAU/USD,commodity,H1,breakout,prev_day_hl,atr_expand_min=1.0,both,all,NEEDS_MORE_DATA,9,,,,,,,,,,,,,,,,only 9 trades < min 20,mt5
run_20260427_184929_704c27,XAU/USD,commodity,H1,breakout,session_opening_range,atr_expand_min=0.0|range_bars=6,both,all,REJECT,63,0.253968,0.523484,-0.003616,-0.003616,-0.225943,-4.592592,-1.917861,0.063063,15.476190,-0.209597,-0.209597,-0.136716,-0.090746,0.599127,,,mt5
run_20260427_184929_704c27,XAU/USD,commodity,H1,breakout,session_opening_range,atr_expand_min=0.5|range_bars=6,both,all,REJECT,63,0.238095,0.506939,-0.003815,-0.003815,-0.235588,-4.833122,-2.024266,0.063063,15.269841,-0.219445,-0.219445,-0.147473,-0.090746,0.584603,,,mt5
run_20260427_184929_704c27,XAU/USD,commodity,H1,breakout,session_opening_range,atr_expand_min=0.0|range_bars=12,both,all,REJECT,33,0.393939,0.687770,-0.002795,-0.002795,-0.184263,-2.053646,-0.843729,0.033033,29.696970,-0.093620,-0.093620,-0.000302,-0.090767,0.298000,,,mt5
run_20260427_184929_704c27,XAU/USD,commodity,H1,breakout,session_opening_range,atr_expand_min=0.5|range_bars=12,both,all,REJECT,33,0.393939,0.687770,-0.002795,-0.002795,-0.184263,-2.053646,-0.843729,0.033033,29.696970,-0.093620,-0.093620,-0.000302,-0.090767,0.298000,,,mt5
run_20260427_184929_704c27,XAU/USD,commodity,H1,breakout,london_breakout,atr_expand_min=0.0|utc_end=11|utc_start=7,both,all,NEEDS_MORE_DATA,19,,,,,,,,,,,,,,,,only 19 trades < min 20,mt5
run_20260427_184929_704c27,XAU/USD,commodity,H1,breakout,london_breakout,atr_expand_min=0.5|utc_end=11|utc_start=7,both,all,NEEDS_MORE_DATA,19,,,,,,,,,,,,,,,,only 19 trades < min 20,mt5
run_20260427_184929_704c27,XAU/USD,commodity,H1,breakout,ny_breakout,atr_expand_min=0.0|utc_end=16|utc_start=13,both,all,REJECT,20,0.200000,0.748805,-0.002366,-0.002366,-0.118922,-1.183366,-0.483939,0.020020,18.850000,-0.050751,-0.050751,0.021627,-0.070846,0.220000,,,mt5
run_20260427_184929_704c27,XAU/USD,commodity,H1,breakout,ny_breakout,atr_expand_min=0.5|utc_end=16|utc_start=13,both,all,NEEDS_MORE_DATA,19,,,,,,,,,,,,,,,,only 19 trades < min 20,mt5
run_20260427_184929_704c27,XAU/USD,commodity,H1,pullback,pullback_ema,pullback_period=20|rsi_reclaim=False|rsi_threshold=50|trend_period=200,both,all,REJECT,83,0.132530,0.640347,-0.001328,-0.001328,-0.108072,-2.950565,-1.209429,0.083083,6.337349,-0.108072,-0.108072,-0.065299,-0.045762,0.610242,,,mt5
run_20260427_184929_704c27,XAU/USD,commodity,H1,pullback,pullback_ema,pullback_period=20|rsi_reclaim=True|rsi_threshold=50|trend_period=200,both,all,REJECT,75,0.133333,0.644667,-0.001325,-0.001325,-0.101267,-2.725320,-1.116672,0.075075,6.426667,-0.098182,-0.098182,-0.060779,-0.039823,0.596564,,,mt5
run_20260427_184929_704c27,XAU/USD,commodity,H1,pullback,pullback_ema,pullback_period=50|rsi_reclaim=False|rsi_threshold=50|trend_period=200,both,all,REJECT,54,0.111111,0.757442,-0.001041,-0.001041,-0.096247,-1.005683,-0.409536,0.054054,11.111111,-0.062963,-0.062963,-0.036817,-0.031892,0.659868,,,mt5
run_20260427_184929_704c27,XAU/USD,commodity,H1,pullback,pullback_ema,pullback_period=50|rsi_reclaim=True|rsi_threshold=50|trend_period=200,both,all,REJECT,41,0.097561,0.890291,-0.000494,-0.000494,-0.078035,-0.366756,-0.149171,0.041041,12.414634,-0.028437,-0.028437,-0.017180,-0.016277,0.630230,,,mt5
run_20260427_184929_704c27,USD/CAD,forex,M15,breakout,prev_day_hl,atr_expand_min=0.0,both,all,NEEDS_MORE_DATA,1,,,,,,,,,,,,,,,,only 1 trades < min 20,mt5
run_20260427_184929_704c27,USD/CAD,forex,M15,breakout,prev_day_hl,atr_expand_min=0.5,both,all,NEEDS_MORE_DATA,1,,,,,,,,,,,,,,,,only 1 trades < min 20,mt5
