run_id,symbol,asset_class,timeframe,family,strategy_name,params_str,direction,session,status,trade_count,win_rate,profit_factor,avg_return,expectancy,max_drawdown,sharpe,sqn,exposure_pct,avg_duration_bars,gross_return,net_return,is_return,oos_return,robustness_score,param_sensitivity,skip_reason,data_source,rank_score
run_20260427_185143_6e8d73,USD/JPY,forex,H4,breakout,prev_day_hl,atr_expand_min=0.0,both,all,WEAK_CANDIDATE,39,0.333333,1.061743,0.000181,0.000181,-0.059317,0.164795,0.134049,0.039039,22.769231,0.005709,0.005709,0.041448,-0.041563,0.534000,,,mt5,0.271394
run_20260427_185143_6e8d73,USD/JPY,forex,H4,breakout,prev_day_hl,atr_expand_min=0.5,both,all,WEAK_CANDIDATE,38,0.342105,1.080465,0.000238,0.000238,-0.057447,0.211193,0.171817,0.038038,23.105263,0.007709,0.007709,0.041448,-0.039657,0.528000,,,mt5,0.269749
run_20260427_185143_6e8d73,USD/CAD,forex,H4,breakout,prev_day_hl,atr_expand_min=0.0,both,all,WEAK_CANDIDATE,32,0.406250,1.265519,0.000658,0.000658,-0.028097,0.668787,0.546341,0.032032,30.593750,0.020532,0.020532,0.000342,0.012084,0.492000,,,mt5,0.263086
run_20260427_185143_6e8d73,USD/CAD,forex,H4,breakout,prev_day_hl,atr_expand_min=0.5,both,all,WEAK_CANDIDATE,32,0.406250,1.208833,0.000542,0.000542,-0.031730,0.542072,0.442142,0.032032,29.750000,0.016717,0.016717,-0.003398,0.012084,0.492000,,,mt5,0.259858
run_20260427_185143_6e8d73,USD/CAD,forex,H4,breakout,prev_day_hl,atr_expand_min=1.0,both,all,WEAK_CANDIDATE,30,0.433333,1.292267,0.000717,0.000717,-0.029446,0.712371,0.582506,0.030030,29.966667,0.021032,0.021032,0.002420,0.012795,0.480000,,,mt5,0.257960
run_20260427_185143_6e8d73,USD/JPY,forex,H4,breakout,prev_day_hl,atr_expand_min=1.0,both,all,WEAK_CANDIDATE,29,0.413793,1.158136,0.000485,0.000485,-0.049432,0.355802,0.289762,0.029029,23.620690,0.012987,0.012987,0.047627,-0.040513,0.474000,,,mt5,0.246691
run_20260427_185143_6e8d73,USD/CAD,forex,H4,breakout,session_opening_range,atr_expand_min=0.5|range_bars=12,both,all,WEAK_CANDIDATE,28,0.571429,1.566710,0.001126,0.001126,-0.020118,1.079864,0.890197,0.028028,33.821429,0.031381,0.031381,0.033174,-0.004838,0.418000,,,mt5,0.236218
run_20260427_185143_6e8d73,USD/CAD,forex,H4,breakout,session_opening_range,atr_expand_min=0.0|range_bars=12,both,all,WEAK_CANDIDATE,29,0.551724,1.455335,0.000939,0.000939,-0.020118,0.925840,0.760189,0.029029,33.137931,0.026925,0.026925,0.028710,-0.004838,0.424000,,,mt5,0.235281
run_20260427_185143_6e8d73,NZD/USD,forex,H4,breakout,session_opening_range,atr_expand_min=0.0|range_bars=12,both,all,WEAK_CANDIDATE,30,0.366667,1.084139,0.000370,0.000370,-0.082334,0.198656,0.161625,0.030030,32.766667,0.008807,0.008807,0.070944,-0.050771,0.430000,,,mt5,0.220875
run_20260427_185143_6e8d73,NZD/USD,forex,H4,breakout,session_opening_range,atr_expand_min=0.5|range_bars=12,both,all,WEAK_CANDIDATE,30,0.366667,1.084139,0.000370,0.000370,-0.082334,0.198656,0.161625,0.030030,32.766667,0.008807,0.008807,0.070944,-0.050771,0.430000,,,mt5,0.220875
