run_id,symbol,asset_class,timeframe,family,strategy_name,params_str,direction,session,status,trade_count,win_rate,profit_factor,avg_return,expectancy,max_drawdown,sharpe,sqn,exposure_pct,avg_duration_bars,gross_return,net_return,is_return,oos_return,robustness_score,param_sensitivity,skip_reason,data_source,rank_score
run_20260427_185342_a9d25f,EUR/USD,forex,D1,trend_momentum,ema_cross,adx_min=0|fast_period=10|rsi_confirm=False|slow_period=50,both,all,WEAK_CANDIDATE,24,0.333333,1.795710,0.005144,0.005144,-0.051179,0.458974,0.930247,0.024024,41.166667,0.121568,0.121568,0.095882,0.045364,0.557367,,,mt5,0.333759
run_20260427_185342_a9d25f,GBP/USD,forex,D1,trend_momentum,macd_direction,adx_min=20|fast=12|signal_period=9|slow=26,both,all,WEAK_CANDIDATE,59,0.508475,1.399989,0.002436,0.002436,-0.050193,0.481605,0.966501,0.059059,15.949153,0.141938,0.141938,0.144762,-0.044647,0.540000,,,mt5,0.331911
run_20260427_185342_a9d25f,EUR/USD,forex,D1,trend_momentum,ema_cross,adx_min=0|fast_period=10|rsi_confirm=True|slow_period=50,both,all,WEAK_CANDIDATE,22,0.318182,1.679503,0.004521,0.004521,-0.051179,0.381902,0.770747,0.022022,40.318182,0.095604,0.095604,0.070512,0.045364,0.575006,,,mt5,0.331599
run_20260427_185342_a9d25f,EUR/USD,forex,D1,trend_momentum,ema_cross,adx_min=20|fast_period=10|rsi_confirm=True|slow_period=50,both,all,WEAK_CANDIDATE,22,0.318182,1.679503,0.004521,0.004521,-0.051179,0.381902,0.770747,0.022022,40.318182,0.095604,0.095604,0.070512,0.045364,0.575006,,,mt5,0.331599
run_20260427_185342_a9d25f,GBP/USD,forex,D1,trend_momentum,macd_direction,adx_min=0|fast=12|signal_period=9|slow=26,both,all,WEAK_CANDIDATE,64,0.484375,1.296594,0.001804,0.001804,-0.060566,0.384770,0.769795,0.064064,15.390625,0.110004,0.110004,0.131368,-0.060369,0.553333,,,mt5,0.325064
run_20260427_185342_a9d25f,EUR/USD,forex,D1,trend_momentum,ema_cross,adx_min=20|fast_period=10|rsi_confirm=False|slow_period=50,both,all,WEAK_CANDIDATE,23,0.347826,1.904492,0.005757,0.005757,-0.051179,0.493159,1.003174,0.023023,42.565217,0.131692,0.131692,0.105774,0.045364,0.516665,,,mt5,0.317903
run_20260427_185342_a9d25f,USD/JPY,forex,H4,trend_momentum,macd_direction,adx_min=0|fast=12|signal_period=9|slow=26,both,all,WEAK_CANDIDATE,65,0.415385,1.357544,0.000855,0.000855,-0.091616,0.993123,0.811474,0.065065,15.246154,0.054706,0.054706,0.153483,-0.090019,0.553333,,,mt5,0.309308
run_20260427_185342_a9d25f,USD/JPY,forex,H4,trend_momentum,macd_direction,adx_min=20|fast=12|signal_period=9|slow=26,both,all,WEAK_CANDIDATE,62,0.403226,1.271038,0.000676,0.000676,-0.091616,0.758359,0.618518,0.062062,15.112903,0.040442,0.040442,0.137884,-0.090019,0.540000,,,mt5,0.294503
run_20260427_185342_a9d25f,EUR/USD,forex,H4,trend_momentum,macd_direction,adx_min=0|fast=12|signal_period=9|slow=26,both,all,WEAK_CANDIDATE,69,0.405797,1.067009,0.000131,0.000131,-0.026948,0.269317,0.219093,0.069069,14.362319,0.008246,0.008246,0.017117,-0.013884,0.553333,,,mt5,0.283522
run_20260427_185342_a9d25f,USD/JPY,forex,D1,trend_momentum,macd_direction,adx_min=0|fast=12|signal_period=9|slow=26,both,all,WEAK_CANDIDATE,77,0.376623,1.037488,0.000335,0.000335,-0.169876,0.059446,0.118430,0.077077,12.714286,0.002497,0.002497,0.138316,-0.166675,0.553333,,,mt5,0.279784
