strategy_name,total_configs,strong,weak,reject,avg_net_return,avg_win_rate,avg_robustness,avg_sqn,avg_oos_return,total_trades,pass_rate,verdict
london_breakout,24,0,0,2,-0.018483,0.307692,0.946926,-0.566402,-0.012769,407,0.000000,HURTS
prev_day_hl,36,0,6,6,0.000096,0.400927,0.819500,-0.025871,-0.028158,594,0.166667,HURTS
ob_bos,96,0,0,16,-0.052491,0.218624,0.718829,-2.711146,-0.019979,1342,0.000000,HURTS
ema_cross,432,0,4,120,-0.045046,0.188522,0.657182,-2.579009,-0.020579,6739,0.009259,HURTS
macd_direction,24,0,4,20,-0.049983,0.283017,0.587755,-2.921237,-0.027842,1729,0.166667,HURTS
session_opening_range,48,0,8,40,-0.036679,0.288167,0.514273,-2.417613,-0.023904,2226,0.166667,HURTS
pullback_ema,48,0,0,47,-0.052443,0.143543,0.510091,-4.057076,-0.023505,2477,0.000000,HURTS
structure_filters,48,0,2,46,-0.143193,0.188841,0.463692,-7.893495,-0.041680,7200,0.041667,HURTS
bollinger_touch,24,0,2,20,-0.019429,0.497601,0.413754,-1.209290,0.004194,710,0.083333,HELPS
ema_alignment,36,0,0,33,-0.039680,0.158450,0.405733,-2.467912,-0.014910,917,0.000000,HURTS
ny_breakout,24,0,0,0,,,,,,222,0.000000,NEUTRAL
rsi_extreme,48,0,0,0,,,,,,556,0.000000,NEUTRAL
vwap_deviation,24,0,0,0,,,,,,252,0.000000,NEUTRAL
