strategy_name,total_configs,strong,weak,reject,avg_net_return,avg_win_rate,avg_robustness,avg_sqn,avg_oos_return,total_trades,pass_rate,verdict
atr_compression,16,0,0,2,-0.286591,0.252174,0.816997,-3.288692,-0.030048,234,0.000000,HURTS
ob_bos,32,0,1,3,0.114104,0.343155,0.806842,-0.595092,-0.098764,441,0.031250,HURTS
prev_day_hl,12,0,3,3,-0.030423,0.395285,0.758500,0.373747,0.005263,639,0.250000,HELPS
ema_cross,144,0,6,41,0.009364,0.199821,0.676902,-1.495677,-0.035929,2281,0.041667,HURTS
ema_alignment,12,0,5,3,0.363613,0.246215,0.659631,-0.640388,-0.013062,271,0.416667,HURTS
ema_scalp_pullback,8,0,2,6,-0.134411,0.195558,0.556716,-2.242032,-0.091176,1006,0.250000,HURTS
macd_direction,8,0,2,6,-0.165817,0.324802,0.553955,-0.886110,-0.089971,590,0.250000,HURTS
micro_breakout,16,0,4,12,-0.113934,0.298865,0.549803,-1.042888,-0.075653,1214,0.250000,HURTS
structure_filters,16,0,0,14,-0.288910,0.264527,0.536413,-3.035778,-0.115834,2229,0.000000,HURTS
session_opening_range,16,0,5,11,-0.024486,0.288124,0.534665,-0.571503,-0.112302,706,0.312500,HURTS
pullback_ema,16,0,6,10,0.064570,0.199889,0.522022,-0.885199,-0.012610,786,0.375000,HURTS
bollinger_touch,8,0,3,4,-0.059409,0.604416,0.519704,-0.311157,0.022815,249,0.375000,HELPS
bb_squeeze_breakout,16,0,1,13,-0.098520,0.335832,0.471863,-1.286413,-0.072998,391,0.062500,HURTS
london_breakout,8,0,0,2,,,,,,84,0.000000,NEUTRAL
ny_breakout,8,0,0,2,,,,,,56,0.000000,NEUTRAL
rsi_extreme,16,0,0,0,,,,,,184,0.000000,NEUTRAL
vwap_deviation,8,0,0,0,,,,,,61,0.000000,NEUTRAL
vwap_reclaim,16,0,0,0,,,,,,134,0.000000,NEUTRAL
