strategy_name,total_configs,strong,weak,reject,avg_net_return,avg_win_rate,avg_robustness,avg_sqn,avg_oos_return,total_trades,pass_rate,verdict
vwap_deviation,30,0,1,0,0.367122,0.904762,0.982313,6.648904,0.136182,351,0.033333,HELPS
rsi_extreme,60,0,1,0,0.072880,0.761905,0.977852,1.529968,0.019677,672,0.016667,HELPS
ny_breakout,30,0,0,4,-0.109142,0.225000,0.911482,-1.280360,-0.063360,298,0.000000,HURTS
prev_day_hl,45,0,6,12,-0.148239,0.339948,0.798760,-0.898503,-0.151993,1027,0.133333,HURTS
ob_bos,120,0,0,19,-0.299226,0.254772,0.793781,-1.982040,-0.075481,1687,0.000000,HURTS
ema_cross,540,0,0,245,-0.253629,0.167826,0.657984,-2.765224,-0.083105,10381,0.000000,HURTS
macd_direction,30,1,7,22,-0.166192,0.329195,0.591949,-1.290148,-0.123519,2247,0.266667,HURTS
bollinger_touch,30,4,13,13,0.099447,0.657454,0.548529,0.269281,0.055497,950,0.566667,HELPS
structure_filters,60,0,4,50,-0.200791,0.277082,0.497080,-3.058936,-0.063677,8327,0.066667,HURTS
pullback_ema,60,0,0,60,-0.181092,0.153755,0.461247,-2.852729,-0.061001,3359,0.000000,HURTS
session_opening_range,60,0,2,58,-0.129389,0.293146,0.447596,-1.240108,-0.080763,2745,0.033333,HURTS
ema_alignment,45,0,2,42,-0.109122,0.175483,0.375683,-2.498929,-0.040500,1236,0.044444,HURTS
london_breakout,30,0,0,0,,,,,,391,0.000000,NEUTRAL
