run_id,symbol,asset_class,timeframe,family,strategy_name,params_str,direction,session,status,trade_count,win_rate,profit_factor,avg_return,expectancy,max_drawdown,sharpe,sqn,exposure_pct,avg_duration_bars,gross_return,net_return,is_return,oos_return,robustness_score,param_sensitivity,skip_reason,data_source,rank_score
run_20260429_072220_0b956c,SOL/USDT,crypto,H4,mean_reversion,bollinger_touch,num_std=2.0|period=20,both,all,STRONG_CANDIDATE,40,0.850000,2.493509,0.017901,0.017901,-0.362813,2.369058,2.018647,0.040040,12.425000,0.898263,0.898263,0.419655,0.372218,0.799422,,,binance_rest,0.709563
run_20260429_072220_0b956c,ADA/USDT,crypto,H4,mean_reversion,bollinger_touch,num_std=2.5|period=20,both,all,STRONG_CANDIDATE,26,0.769231,2.672585,0.018396,0.018396,-0.149639,2.360815,2.068017,0.026026,12.807692,0.563984,0.563984,0.250136,0.251051,0.788235,,,binance_rest,0.604673
run_20260429_072220_0b956c,ADA/USDT,crypto,H1,mean_reversion,vwap_deviation,std_threshold=1.5,both,all,WEAK_CANDIDATE,21,0.904762,23.971105,0.015055,0.015055,-0.011378,9.346136,6.648904,0.021021,35.285714,0.367122,0.367122,0.195768,0.136182,0.734689,,,binance_rest,0.577481
run_20260429_072220_0b956c,ETH/USDT,crypto,H4,mean_reversion,bollinger_touch,num_std=2.5|period=20,both,all,STRONG_CANDIDATE,25,0.760000,2.823620,0.014968,0.014968,-0.136926,2.480113,2.198912,0.025025,12.920000,0.428980,0.428980,0.189159,0.201672,0.763488,,,binance_rest,0.554416
run_20260429_072220_0b956c,SOL/USDT,crypto,H4,mean_reversion,bollinger_touch,num_std=2.5|period=20,both,all,WEAK_CANDIDATE,27,0.814815,2.151704,0.017883,0.017883,-0.340329,1.687180,1.421155,0.027027,14.333333,0.514309,0.514309,0.295820,0.168610,0.666326,,,binance_rest,0.515879
run_20260429_072220_0b956c,BNB/USDT,crypto,H4,mean_reversion,bollinger_touch,num_std=2.0|period=20,both,all,STRONG_CANDIDATE,42,0.690476,1.535109,0.005100,0.005100,-0.209326,1.228175,1.010375,0.042042,13.904762,0.209738,0.209738,0.120970,0.117517,0.836768,,,binance_rest,0.501513
run_20260429_072220_0b956c,ETH/USDT,crypto,H1,trend_momentum,macd_direction,adx_min=0|fast=12|signal_period=9|slow=26,both,all,STRONG_CANDIDATE,58,0.465517,1.420951,0.002681,0.002681,-0.120079,2.410915,0.988080,0.058058,16.672414,0.153897,0.153897,0.104730,0.061901,0.730648,,,binance_rest,0.431255
run_20260429_072220_0b956c,ADA/USDT,crypto,H4,mean_reversion,bollinger_touch,num_std=2.0|period=20,both,all,WEAK_CANDIDATE,35,0.628571,1.618733,0.008156,0.008156,-0.204008,1.289456,1.064918,0.035035,13.485714,0.281176,0.281176,0.095041,0.148329,0.635128,,,binance_rest,0.423215
run_20260429_072220_0b956c,BNB/USDT,crypto,H4,engine_b_proxy,structure_filters,fvg_detection=False|strong_close_pct=0.8,both,all,WEAK_CANDIDATE,191,0.413613,1.277086,0.001745,0.001745,-0.189892,1.329992,1.084306,0.191191,4.785340,0.333018,0.333018,0.325907,0.017868,0.556447,,,binance_rest,0.399815
run_20260429_072220_0b956c,BNB/USDT,crypto,H1,mean_reversion,rsi_extreme,overbought=70|oversold=30|period=14,both,all,WEAK_CANDIDATE,21,0.761905,2.370326,0.003408,0.003408,-0.026457,3.572711,1.529968,0.021021,15.952381,0.072880,0.072880,0.041636,0.019677,0.667778,,,binance_rest,0.386352
run_20260429_072220_0b956c,ETH/USDT,crypto,H1,trend_momentum,macd_direction,adx_min=20|fast=12|signal_period=9|slow=26,both,all,WEAK_CANDIDATE,54,0.481481,1.448119,0.002843,0.002843,-0.120079,2.434505,0.998539,0.054054,17.388889,0.152237,0.152237,0.128975,0.037601,0.640794,,,binance_rest,0.386039
run_20260429_072220_0b956c,BTC/USDT,crypto,H4,breakout,session_opening_range,atr_expand_min=0.5|range_bars=6,both,all,WEAK_CANDIDATE,52,0.442308,1.583500,0.005673,0.005673,-0.113725,1.530346,1.262506,0.052052,18.692308,0.306939,0.306939,0.438429,-0.093688,0.513333,,,binance_rest,0.373999
run_20260429_072220_0b956c,BTC/USDT,crypto,H4,breakout,session_opening_range,atr_expand_min=0.0|range_bars=6,both,all,WEAK_CANDIDATE,52,0.442308,1.583500,0.005673,0.005673,-0.113725,1.530346,1.262506,0.052052,18.692308,0.306939,0.306939,0.438429,-0.093688,0.513333,,,binance_rest,0.373999
run_20260429_072220_0b956c,BTC/USDT,crypto,H4,breakout,prev_day_hl,atr_expand_min=0.5,both,all,WEAK_CANDIDATE,40,0.450000,1.799342,0.007700,0.007700,-0.140480,1.300142,1.071817,0.040040,24.650000,0.308544,0.308544,0.332381,-0.052612,0.506667,,,binance_rest,0.367333
run_20260429_072220_0b956c,BTC/USDT,crypto,H4,breakout,prev_day_hl,atr_expand_min=0.0,both,all,WEAK_CANDIDATE,40,0.450000,1.799342,0.007700,0.007700,-0.140480,1.300142,1.071817,0.040040,24.650000,0.308544,0.308544,0.332381,-0.052612,0.506667,,,binance_rest,0.367333
run_20260429_072220_0b956c,ETH/USDT,crypto,H4,mean_reversion,bollinger_touch,num_std=2.0|period=20,both,all,WEAK_CANDIDATE,41,0.780488,1.523576,0.006548,0.006548,-0.341021,1.001665,0.821001,0.041041,13.463415,0.229212,0.229212,-0.017992,0.247222,0.539333,,,binance_rest,0.354850
run_20260429_072220_0b956c,ETH/USDT,crypto,H4,breakout,prev_day_hl,atr_expand_min=0.0,both,all,WEAK_CANDIDATE,45,0.444444,1.387187,0.006176,0.006176,-0.275690,0.867367,0.709140,0.045045,22.088889,0.230112,0.230112,0.352275,-0.148161,0.536667,,,binance_rest,0.351550
run_20260429_072220_0b956c,ETH/USDT,crypto,H4,breakout,prev_day_hl,atr_expand_min=1.0,both,all,WEAK_CANDIDATE,38,0.473684,1.548647,0.007734,0.007734,-0.213627,0.989763,0.811609,0.038038,23.236842,0.263413,0.263413,0.279267,-0.075170,0.494667,,,binance_rest,0.342589
run_20260429_072220_0b956c,ETH/USDT,crypto,H4,breakout,prev_day_hl,atr_expand_min=0.5,both,all,WEAK_CANDIDATE,45,0.444444,1.351004,0.005599,0.005599,-0.275690,0.791119,0.646222,0.045045,21.800000,0.199667,0.199667,0.318807,-0.148161,0.536667,,,binance_rest,0.341158
run_20260429_072220_0b956c,ADA/USDT,crypto,H1,trend_momentum,macd_direction,adx_min=20|fast=12|signal_period=9|slow=26,both,all,WEAK_CANDIDATE,66,0.469697,1.307360,0.002166,0.002166,-0.156344,2.037127,0.832398,0.066066,13.848485,0.136815,0.136815,0.231076,-0.081239,0.553333,,,binance_rest,0.334359
run_20260429_072220_0b956c,ADA/USDT,crypto,H1,trend_momentum,macd_direction,adx_min=0|fast=12|signal_period=9|slow=26,both,all,WEAK_CANDIDATE,70,0.471429,1.277388,0.001973,0.001973,-0.132950,1.919861,0.783843,0.070070,13.785714,0.130444,0.130444,0.219804,-0.077945,0.553333,,,binance_rest,0.331477
run_20260429_072220_0b956c,BTC/USDT,crypto,H4,mean_reversion,bollinger_touch,num_std=2.0|period=20,both,all,WEAK_CANDIDATE,37,0.621622,1.305973,0.003281,0.003281,-0.228857,0.671500,0.548230,0.037037,14.243243,0.099698,0.099698,0.108560,0.023515,0.580317,,,binance_rest,0.331032
run_20260429_072220_0b956c,ADA/USDT,crypto,H4,engine_b_proxy,structure_filters,fvg_detection=False|strong_close_pct=0.8,both,all,WEAK_CANDIDATE,195,0.379487,1.105166,0.001113,0.001113,-0.321441,0.593252,0.482695,0.195195,4.569231,0.125313,0.125313,0.025510,0.097320,0.540000,,,binance_rest,0.317248
run_20260429_072220_0b956c,BTC/USDT,crypto,H4,breakout,prev_day_hl,atr_expand_min=1.0,both,all,WEAK_CANDIDATE,37,0.405405,1.493039,0.005583,0.005583,-0.137543,0.870796,0.712843,0.037037,24.243243,0.182187,0.182187,0.199623,-0.049375,0.488667,,,binance_rest,0.313246
run_20260429_072220_0b956c,ADA/USDT,crypto,M15,mean_reversion,bollinger_touch,num_std=2.0|period=20,both,all,WEAK_CANDIDATE,40,0.725000,1.708526,0.001362,0.001362,-0.031904,3.049433,1.212153,0.040040,11.775000,0.054890,0.054890,0.066649,-0.011024,0.533333,,,binance_rest,0.307377
run_20260429_072220_0b956c,BNB/USDT,crypto,H1,trend_momentum,macd_direction,adx_min=20|fast=12|signal_period=9|slow=26,both,all,WEAK_CANDIDATE,61,0.360656,1.177629,0.000805,0.000805,-0.054935,1.170535,0.476801,0.061061,15.049180,0.044835,0.044835,0.054280,-0.010001,0.553333,,,binance_rest,0.299653
run_20260429_072220_0b956c,BNB/USDT,crypto,H1,trend_momentum,macd_direction,adx_min=0|fast=12|signal_period=9|slow=26,both,all,WEAK_CANDIDATE,66,0.363636,1.140353,0.000621,0.000621,-0.056400,0.972294,0.395797,0.066066,14.636364,0.036356,0.036356,0.052489,-0.016364,0.553333,,,binance_rest,0.295489
run_20260429_072220_0b956c,SOL/USDT,crypto,H4,engine_b_proxy,structure_filters,fvg_detection=False|strong_close_pct=0.7,both,all,WEAK_CANDIDATE,304,0.365132,1.069742,0.000606,0.000606,-0.423130,0.504990,0.410763,0.304304,3.213816,0.089884,0.089884,0.171750,-0.087084,0.513333,,,binance_rest,0.291847
run_20260429_072220_0b956c,BTC/USDT,crypto,H1,trend_momentum,macd_direction,adx_min=0|fast=12|signal_period=9|slow=26,both,all,WEAK_CANDIDATE,66,0.363636,1.087903,0.000476,0.000476,-0.076806,0.659928,0.268480,0.066066,14.939394,0.024930,0.024930,0.058073,-0.021067,0.553333,,,binance_rest,0.289515
run_20260429_072220_0b956c,BNB/USDT,crypto,H1,mean_reversion,bollinger_touch,num_std=2.5|period=20,both,all,WEAK_CANDIDATE,26,0.653846,1.100683,0.000439,0.000439,-0.042748,0.468353,0.190574,0.026026,14.384615,0.009652,0.009652,-0.004532,0.003141,0.559139,,,binance_rest,0.286276
run_20260429_072220_0b956c,SOL/USDT,crypto,H4,engine_b_proxy,structure_filters,fvg_detection=False|strong_close_pct=0.8,both,all,WEAK_CANDIDATE,199,0.366834,1.061696,0.000643,0.000643,-0.434183,0.354382,0.288250,0.199199,4.597990,0.032673,0.032673,-0.048631,0.065368,0.540000,,,binance_rest,0.285567
run_20260429_072220_0b956c,BTC/USDT,crypto,H1,trend_momentum,macd_direction,adx_min=20|fast=12|signal_period=9|slow=26,both,all,WEAK_CANDIDATE,63,0.365079,1.045303,0.000251,0.000251,-0.076806,0.339890,0.138227,0.063063,15.174603,0.009379,0.009379,0.058073,-0.035919,0.553333,,,binance_rest,0.282245
run_20260429_072220_0b956c,BTC/USDT,crypto,H4,mean_reversion,bollinger_touch,num_std=2.5|period=20,both,all,WEAK_CANDIDATE,27,0.666667,1.355231,0.003540,0.003540,-0.194034,0.582948,0.476014,0.027027,14.074074,0.076347,0.076347,0.006703,0.073643,0.495333,,,binance_rest,0.280091
run_20260429_072220_0b956c,BTC/USDT,crypto,M15,mean_reversion,bollinger_touch,num_std=2.5|period=20,both,all,WEAK_CANDIDATE,28,0.714286,1.550420,0.000714,0.000714,-0.012219,2.292363,0.908297,0.028028,11.857143,0.019938,0.019938,0.024016,-0.003982,0.501333,,,binance_rest,0.274814
run_20260429_072220_0b956c,ADA/USDT,crypto,H1,mean_reversion,bollinger_touch,num_std=2.0|period=20,both,all,WEAK_CANDIDATE,40,0.650000,1.087572,0.000528,0.000528,-0.128757,0.449415,0.182817,0.040040,14.150000,0.014366,0.014366,-0.067900,0.092596,0.533333,,,binance_rest,0.274633
run_20260429_072220_0b956c,BNB/USDT,crypto,H4,mean_reversion,bollinger_touch,num_std=2.5|period=20,both,all,WEAK_CANDIDATE,24,0.708333,1.264590,0.002905,0.002905,-0.167875,0.523341,0.427184,0.024024,15.250000,0.057465,0.057465,-0.010572,0.068764,0.477333,,,binance_rest,0.264450
run_20260429_072220_0b956c,SOL/USDT,crypto,M15,mean_reversion,bollinger_touch,num_std=2.5|period=20,both,all,WEAK_CANDIDATE,23,0.695652,1.496856,0.000855,0.000855,-0.017468,1.992670,0.788700,0.023023,13.565217,0.019526,0.019526,0.037627,-0.017445,0.471333,,,binance_rest,0.257298
run_20260429_072220_0b956c,ADA/USDT,crypto,H1,mean_reversion,bollinger_touch,num_std=2.5|period=20,both,all,WEAK_CANDIDATE,24,0.583333,1.146826,0.000907,0.000907,-0.077299,0.597323,0.243179,0.024024,15.416667,0.017834,0.017834,-0.035126,0.059093,0.477333,,,binance_rest,0.248880
