run_id,symbol,asset_class,timeframe,family,strategy_name,params_str,direction,session,status,trade_count,win_rate,profit_factor,avg_return,expectancy,max_drawdown,sharpe,sqn,exposure_pct,avg_duration_bars,gross_return,net_return,is_return,oos_return,robustness_score,param_sensitivity,skip_reason,data_source
run_20260429_072220_0b956c,SOL/USDT,crypto,M15,trend_momentum,ema_cross,adx_min=0|fast_period=10|rsi_confirm=False|slow_period=50,both,all,REJECT,34,0.117647,0.320411,-0.003689,-0.003689,-0.137823,-6.417817,-2.766455,0.034034,27.970588,-0.119000,-0.119000,-0.120549,0.005873,0.304000,,,binance_rest
run_20260429_072220_0b956c,SOL/USDT,crypto,M15,trend_momentum,ema_cross,adx_min=0|fast_period=10|rsi_confirm=True|slow_period=50,both,all,REJECT,29,0.103448,0.347277,-0.003623,-0.003623,-0.120018,-5.544377,-2.359254,0.029029,30.620690,-0.100806,-0.100806,-0.102566,0.005873,0.274000,,,binance_rest
run_20260429_072220_0b956c,SOL/USDT,crypto,M15,trend_momentum,ema_cross,adx_min=20|fast_period=10|rsi_confirm=False|slow_period=50,both,all,REJECT,32,0.125000,0.334657,-0.003674,-0.003674,-0.131009,-6.050063,-2.592804,0.032032,28.406250,-0.112037,-0.112037,-0.113598,0.005873,0.292000,,,binance_rest
run_20260429_072220_0b956c,SOL/USDT,crypto,M15,trend_momentum,ema_cross,adx_min=20|fast_period=10|rsi_confirm=True|slow_period=50,both,all,REJECT,27,0.111111,0.365098,-0.003601,-0.003601,-0.113062,-5.161213,-2.182558,0.027027,31.333333,-0.093698,-0.093698,-0.095473,0.005873,0.262000,,,binance_rest
run_20260429_072220_0b956c,SOL/USDT,crypto,M15,trend_momentum,ema_cross,adx_min=25|fast_period=10|rsi_confirm=False|slow_period=50,both,all,REJECT,26,0.115385,0.258582,-0.004138,-0.004138,-0.121986,-6.526932,-2.931819,0.026026,29.461538,-0.102817,-0.102817,-0.104394,0.005873,0.256000,,,binance_rest
run_20260429_072220_0b956c,SOL/USDT,crypto,M15,trend_momentum,ema_cross,adx_min=25|fast_period=10|rsi_confirm=True|slow_period=50,both,all,REJECT,21,0.095238,0.282164,-0.004154,-0.004154,-0.103853,-5.530526,-2.442715,0.021021,33.476190,-0.084288,-0.084288,-0.086081,0.005873,0.226000,,,binance_rest
run_20260429_072220_0b956c,SOL/USDT,crypto,M15,trend_momentum,ema_cross,adx_min=0|fast_period=10|rsi_confirm=False|slow_period=100,both,all,REJECT,26,0.153846,0.288293,-0.003977,-0.003977,-0.115081,-6.314685,-2.807707,0.026026,37.576923,-0.099023,-0.099023,-0.090940,0.003404,0.256000,,,binance_rest
run_20260429_072220_0b956c,SOL/USDT,crypto,M15,trend_momentum,ema_cross,adx_min=0|fast_period=10|rsi_confirm=True|slow_period=100,both,all,REJECT,21,0.190476,0.361890,-0.003533,-0.003533,-0.088785,-4.768171,-2.034615,0.021021,43.619048,-0.072249,-0.072249,-0.063926,0.003404,0.226000,,,binance_rest
run_20260429_072220_0b956c,SOL/USDT,crypto,M15,trend_momentum,ema_cross,adx_min=20|fast_period=10|rsi_confirm=False|slow_period=100,both,all,REJECT,26,0.153846,0.288293,-0.003977,-0.003977,-0.115081,-6.314685,-2.807707,0.026026,37.576923,-0.099023,-0.099023,-0.090940,0.003404,0.256000,,,binance_rest
run_20260429_072220_0b956c,SOL/USDT,crypto,M15,trend_momentum,ema_cross,adx_min=20|fast_period=10|rsi_confirm=True|slow_period=100,both,all,REJECT,21,0.190476,0.361890,-0.003533,-0.003533,-0.088785,-4.768171,-2.034615,0.021021,43.619048,-0.072249,-0.072249,-0.063926,0.003404,0.226000,,,binance_rest
run_20260429_072220_0b956c,SOL/USDT,crypto,M15,trend_momentum,ema_cross,adx_min=25|fast_period=10|rsi_confirm=False|slow_period=100,both,all,NEEDS_MORE_DATA,18,,,,,,,,,,,,,,1.000000,,only 18 trades < min 20,binance_rest
run_20260429_072220_0b956c,SOL/USDT,crypto,M15,trend_momentum,ema_cross,adx_min=25|fast_period=10|rsi_confirm=True|slow_period=100,both,all,NEEDS_MORE_DATA,14,,,,,,,,,,,,,,1.000000,,only 14 trades < min 20,binance_rest
run_20260429_072220_0b956c,SOL/USDT,crypto,M15,trend_momentum,ema_cross,adx_min=0|fast_period=10|rsi_confirm=False|slow_period=200,both,all,REJECT,26,0.038462,0.052479,-0.006764,-0.006764,-0.170080,-10.864935,-7.444711,0.026026,37.961538,-0.161997,-0.161997,-0.147240,-0.008620,0.273564,,,binance_rest
run_20260429_072220_0b956c,SOL/USDT,crypto,M15,trend_momentum,ema_cross,adx_min=0|fast_period=10|rsi_confirm=True|slow_period=200,both,all,REJECT,22,0.045455,0.060293,-0.006900,-0.006900,-0.149810,-9.805398,-6.496675,0.022022,42.181818,-0.141529,-0.141529,-0.126412,-0.008620,0.252458,,,binance_rest
run_20260429_072220_0b956c,SOL/USDT,crypto,M15,trend_momentum,ema_cross,adx_min=20|fast_period=10|rsi_confirm=False|slow_period=200,both,all,REJECT,26,0.038462,0.052479,-0.006764,-0.006764,-0.170080,-10.864935,-7.444711,0.026026,37.961538,-0.161997,-0.161997,-0.147240,-0.008620,0.273564,,,binance_rest
run_20260429_072220_0b956c,SOL/USDT,crypto,M15,trend_momentum,ema_cross,adx_min=20|fast_period=10|rsi_confirm=True|slow_period=200,both,all,REJECT,22,0.045455,0.060293,-0.006900,-0.006900,-0.149810,-9.805398,-6.496675,0.022022,42.181818,-0.141529,-0.141529,-0.126412,-0.008620,0.252458,,,binance_rest
run_20260429_072220_0b956c,SOL/USDT,crypto,M15,trend_momentum,ema_cross,adx_min=25|fast_period=10|rsi_confirm=False|slow_period=200,both,all,REJECT,22,0.045455,0.060828,-0.006835,-0.006835,-0.148573,-9.926953,-6.736766,0.022022,36.454545,-0.140280,-0.140280,-0.125141,-0.008620,0.252665,,,binance_rest
run_20260429_072220_0b956c,SOL/USDT,crypto,M15,trend_momentum,ema_cross,adx_min=25|fast_period=10|rsi_confirm=True|slow_period=200,both,all,NEEDS_MORE_DATA,18,,,,,,,,,,,,,,,,only 18 trades < min 20,binance_rest
run_20260429_072220_0b956c,SOL/USDT,crypto,M15,trend_momentum,ema_cross,adx_min=0|fast_period=20|rsi_confirm=False|slow_period=50,both,all,REJECT,22,0.181818,0.367426,-0.003883,-0.003883,-0.101349,-4.793865,-2.038485,0.022022,43.954545,-0.082840,-0.082840,-0.080352,0.002667,0.232000,,,binance_rest
run_20260429_072220_0b956c,SOL/USDT,crypto,M15,trend_momentum,ema_cross,adx_min=0|fast_period=20|rsi_confirm=True|slow_period=50,both,all,REJECT,20,0.200000,0.397158,-0.003766,-0.003766,-0.092194,-4.278948,-1.799395,0.020020,48.100000,-0.073496,-0.073496,-0.070983,0.002667,0.220000,,,binance_rest
run_20260429_072220_0b956c,SOL/USDT,crypto,M15,trend_momentum,ema_cross,adx_min=20|fast_period=20|rsi_confirm=False|slow_period=50,both,all,REJECT,22,0.181818,0.367426,-0.003883,-0.003883,-0.101349,-4.793865,-2.038485,0.022022,43.954545,-0.082840,-0.082840,-0.080352,0.002667,0.232000,,,binance_rest
run_20260429_072220_0b956c,SOL/USDT,crypto,M15,trend_momentum,ema_cross,adx_min=20|fast_period=20|rsi_confirm=True|slow_period=50,both,all,REJECT,20,0.200000,0.397158,-0.003766,-0.003766,-0.092194,-4.278948,-1.799395,0.020020,48.100000,-0.073496,-0.073496,-0.070983,0.002667,0.220000,,,binance_rest
run_20260429_072220_0b956c,SOL/USDT,crypto,M15,trend_momentum,ema_cross,adx_min=25|fast_period=20|rsi_confirm=False|slow_period=50,both,all,REJECT,20,0.200000,0.420595,-0.003432,-0.003432,-0.086059,-4.000771,-1.665874,0.020020,46.450000,-0.067236,-0.067236,-0.064705,0.002667,0.220000,,,binance_rest
run_20260429_072220_0b956c,SOL/USDT,crypto,M15,trend_momentum,ema_cross,adx_min=25|fast_period=20|rsi_confirm=True|slow_period=50,both,all,NEEDS_MORE_DATA,18,,,,,,,,,,,,,,1.000000,,only 18 trades < min 20,binance_rest
run_20260429_072220_0b956c,SOL/USDT,crypto,M15,trend_momentum,ema_cross,adx_min=0|fast_period=20|rsi_confirm=False|slow_period=100,both,all,NEEDS_MORE_DATA,16,,,,,,,,,,,,,,1.000000,,only 16 trades < min 20,binance_rest
run_20260429_072220_0b956c,SOL/USDT,crypto,M15,trend_momentum,ema_cross,adx_min=0|fast_period=20|rsi_confirm=True|slow_period=100,both,all,NEEDS_MORE_DATA,14,,,,,,,,,,,,,,1.000000,,only 14 trades < min 20,binance_rest
run_20260429_072220_0b956c,SOL/USDT,crypto,M15,trend_momentum,ema_cross,adx_min=20|fast_period=20|rsi_confirm=False|slow_period=100,both,all,NEEDS_MORE_DATA,15,,,,,,,,,,,,,,1.000000,,only 15 trades < min 20,binance_rest
run_20260429_072220_0b956c,SOL/USDT,crypto,M15,trend_momentum,ema_cross,adx_min=20|fast_period=20|rsi_confirm=True|slow_period=100,both,all,NEEDS_MORE_DATA,13,,,,,,,,,,,,,,1.000000,,only 13 trades < min 20,binance_rest
run_20260429_072220_0b956c,SOL/USDT,crypto,M15,trend_momentum,ema_cross,adx_min=25|fast_period=20|rsi_confirm=False|slow_period=100,both,all,NEEDS_MORE_DATA,14,,,,,,,,,,,,,,1.000000,,only 14 trades < min 20,binance_rest
run_20260429_072220_0b956c,SOL/USDT,crypto,M15,trend_momentum,ema_cross,adx_min=25|fast_period=20|rsi_confirm=True|slow_period=100,both,all,NEEDS_MORE_DATA,12,,,,,,,,,,,,,,1.000000,,only 12 trades < min 20,binance_rest
run_20260429_072220_0b956c,SOL/USDT,crypto,M15,trend_momentum,ema_cross,adx_min=0|fast_period=20|rsi_confirm=False|slow_period=200,both,all,NEEDS_MORE_DATA,18,,,,,,,,,,,,,,1.000000,,only 18 trades < min 20,binance_rest
