strategy_name,total_configs,strong,weak,reject,avg_net_return,avg_win_rate,avg_robustness,avg_sqn,avg_oos_return,total_trades,pass_rate,verdict
rsi_extreme,60,0,1,0,0.072880,0.761905,0.977852,1.529968,0.019677,672,0.016667,HELPS
vwap_deviation,30,0,2,0,0.234303,0.877381,0.951975,5.678517,0.071768,352,0.066667,HELPS
ny_breakout,30,0,0,4,-0.109142,0.225000,0.911482,-1.280360,-0.063360,298,0.000000,HURTS
prev_day_hl,45,0,6,12,-0.148239,0.339948,0.798760,-0.898503,-0.151993,1027,0.133333,HURTS
ob_bos,120,0,0,19,-0.299226,0.254772,0.793781,-1.982040,-0.075481,1687,0.000000,HURTS
ema_cross,540,0,0,240,-0.255393,0.172799,0.665928,-2.704191,-0.084797,10264,0.000000,HURTS
macd_direction,30,1,7,22,-0.165738,0.330779,0.591725,-1.282481,-0.123743,2241,0.266667,HURTS
bollinger_touch,30,4,13,13,0.100078,0.659077,0.549855,0.290424,0.056472,948,0.566667,HELPS
structure_filters,60,0,4,51,-0.198787,0.277259,0.484881,-2.999407,-0.064282,8320,0.066667,HURTS
pullback_ema,60,0,0,60,-0.178967,0.157054,0.463175,-2.725809,-0.061175,3347,0.000000,HURTS
session_opening_range,60,0,2,58,-0.129310,0.293502,0.448764,-1.239825,-0.081106,2747,0.033333,HURTS
ema_alignment,45,0,2,42,-0.106302,0.176309,0.373649,-2.356919,-0.040500,1206,0.044444,HURTS
london_breakout,30,0,0,0,,,,,,391,0.000000,NEUTRAL
