strategy_name,total_configs,strong,weak,reject,avg_net_return,avg_win_rate,avg_robustness,avg_sqn,avg_oos_return,total_trades,pass_rate,verdict
rsi_extreme,40,0,1,0,0.072880,0.761905,0.966778,1.529968,0.019677,448,0.025000,HELPS
vwap_deviation,20,0,2,0,0.234303,0.877381,0.927963,5.678517,0.071768,266,0.100000,HELPS
prev_day_hl,30,0,0,3,-0.484996,0.130435,0.926823,-4.717733,-0.046454,342,0.000000,HURTS
ny_breakout,20,0,0,4,-0.109142,0.225000,0.867223,-1.280360,-0.063360,298,0.000000,HURTS
vwap_reclaim,40,0,0,10,-0.286195,0.057567,0.833177,-7.621308,-0.072979,600,0.000000,HURTS
micro_breakout,40,0,0,40,-0.150482,0.281793,0.533228,-2.062968,-0.061784,3008,0.000000,HURTS
ema_scalp_pullback,20,0,0,20,-0.281822,0.150768,0.521113,-4.410375,-0.091336,2758,0.000000,HURTS
session_opening_range,40,0,0,40,-0.123633,0.268711,0.466981,-1.718105,-0.052731,1856,0.000000,HURTS
bollinger_touch,20,0,7,13,-0.017939,0.624105,0.452366,-0.167326,0.000982,624,0.350000,HELPS
london_breakout,20,0,0,0,,,,,,235,0.000000,NEUTRAL
