run_id,symbol,asset_class,timeframe,family,strategy_name,params_str,direction,session,status,trade_count,win_rate,profit_factor,avg_return,expectancy,max_drawdown,sharpe,sqn,exposure_pct,avg_duration_bars,gross_return,net_return,is_return,oos_return,robustness_score,param_sensitivity,skip_reason,data_source,rank_score
run_20260429_073729_34c0b5,ADA/USDT,crypto,H1,mean_reversion,vwap_deviation,std_threshold=1.5,both,all,WEAK_CANDIDATE,21,0.904762,23.971105,0.015055,0.015055,-0.011378,9.346136,6.648904,0.021021,35.285714,0.367122,0.367122,0.195768,0.136182,0.734689,,,binance_rest,0.577481
run_20260429_073729_34c0b5,ETH/USDT,crypto,M15,mean_reversion,vwap_deviation,std_threshold=1.5,both,all,WEAK_CANDIDATE,20,0.850000,14.346122,0.004855,0.004855,-0.006463,8.343800,4.708130,0.020020,39.250000,0.101484,0.101484,0.088466,0.007354,0.544938,,,binance_rest,0.397077
run_20260429_073729_34c0b5,BNB/USDT,crypto,H1,mean_reversion,rsi_extreme,overbought=70|oversold=30|period=14,both,all,WEAK_CANDIDATE,21,0.761905,2.370326,0.003408,0.003408,-0.026457,3.572711,1.529968,0.021021,15.952381,0.072880,0.072880,0.041636,0.019677,0.667778,,,binance_rest,0.386352
run_20260429_073729_34c0b5,ADA/USDT,crypto,M15,mean_reversion,bollinger_touch,num_std=2.0|period=20,both,all,WEAK_CANDIDATE,40,0.725000,1.708526,0.001362,0.001362,-0.031904,3.049433,1.212153,0.040040,11.775000,0.054890,0.054890,0.066649,-0.011024,0.480000,,,binance_rest,0.280710
run_20260429_073729_34c0b5,BNB/USDT,crypto,H1,mean_reversion,bollinger_touch,num_std=2.5|period=20,both,all,WEAK_CANDIDATE,26,0.653846,1.100683,0.000439,0.000439,-0.042748,0.468353,0.190574,0.026026,14.384615,0.009652,0.009652,-0.004532,0.003141,0.525806,,,binance_rest,0.269610
run_20260429_073729_34c0b5,BTC/USDT,crypto,M15,mean_reversion,bollinger_touch,num_std=2.5|period=20,both,all,WEAK_CANDIDATE,28,0.714286,1.550420,0.000714,0.000714,-0.012219,2.292363,0.908297,0.028028,11.857143,0.019938,0.019938,0.024016,0.000260,0.471246,,,binance_rest,0.259770
run_20260429_073729_34c0b5,SOL/USDT,crypto,M15,mean_reversion,bollinger_touch,num_std=2.5|period=20,both,all,WEAK_CANDIDATE,22,0.727273,1.899546,0.001275,0.001275,-0.015093,3.015061,1.215999,0.022022,12.818182,0.028149,0.028149,0.037627,-0.009135,0.432000,,,binance_rest,0.248765
run_20260429_073729_34c0b5,ADA/USDT,crypto,H1,mean_reversion,bollinger_touch,num_std=2.0|period=20,both,all,WEAK_CANDIDATE,40,0.650000,1.087572,0.000528,0.000528,-0.128757,0.449415,0.182817,0.040040,14.150000,0.014366,0.014366,-0.067900,0.092596,0.480000,,,binance_rest,0.247966
run_20260429_073729_34c0b5,ADA/USDT,crypto,H1,mean_reversion,bollinger_touch,num_std=2.5|period=20,both,all,WEAK_CANDIDATE,24,0.583333,1.146826,0.000907,0.000907,-0.077299,0.597323,0.243179,0.024024,15.416667,0.017834,0.017834,-0.035126,0.059093,0.444000,,,binance_rest,0.232214
run_20260429_073729_34c0b5,ADA/USDT,crypto,M15,mean_reversion,bollinger_touch,num_std=2.5|period=20,both,all,WEAK_CANDIDATE,22,0.727273,1.058504,0.000156,0.000156,-0.033008,0.239180,0.093459,0.022022,14.272727,0.002748,0.002748,0.012042,-0.009183,0.432000,,,binance_rest,0.218694
