strategy_name,total_configs,strong,weak,reject,avg_net_return,avg_win_rate,avg_robustness,avg_sqn,avg_oos_return,total_trades,pass_rate,verdict
ob_bos,80,0,1,7,-0.356625,0.255038,0.821485,-1.488295,-0.104892,1025,0.012500,HURTS
ema_cross,360,0,29,81,-0.148123,0.218721,0.661910,-0.658302,-0.125277,5743,0.080556,HURTS
bollinger_touch,20,4,6,8,-0.220389,0.675635,0.615554,0.303480,0.025955,605,0.500000,HELPS
macd_direction,20,1,3,16,-0.278160,0.348974,0.588374,-0.540938,-0.281662,1512,0.200000,HURTS
pullback_ema,40,4,7,26,0.066816,0.216933,0.565782,-0.348015,-0.025980,1923,0.275000,HURTS
structure_filters,40,0,8,27,-0.174839,0.335086,0.548049,-0.261012,-0.144573,5283,0.200000,HURTS
prev_day_hl,30,0,9,21,-0.145008,0.366638,0.516450,0.051832,-0.050491,3063,0.300000,HURTS
ema_alignment,30,0,8,18,0.224935,0.258048,0.492921,0.119881,-0.049843,707,0.266667,HURTS
session_opening_range,40,0,7,33,-0.181288,0.338587,0.442085,-0.051622,-0.156229,1812,0.175000,HURTS
london_breakout,20,0,0,10,,,,,,156,0.000000,NEUTRAL
ny_breakout,20,0,0,10,,,,,,0,0.000000,NEUTRAL
rsi_extreme,40,0,0,0,,,,,,476,0.000000,NEUTRAL
vwap_deviation,20,0,0,0,,,,,,168,0.000000,NEUTRAL
