run_id,symbol,asset_class,timeframe,family,strategy_name,params_str,direction,session,status,trade_count,win_rate,profit_factor,avg_return,expectancy,max_drawdown,sharpe,sqn,exposure_pct,avg_duration_bars,gross_return,net_return,is_return,oos_return,robustness_score,param_sensitivity,skip_reason,data_source,rank_score
run_20260429_074242_3656ab,SOL/USDT,crypto,D1,engine_b_proxy,structure_filters,fvg_detection=True|strong_close_pct=0.7,both,all,WEAK_CANDIDATE,29,0.379310,3.083617,0.083081,0.083081,-0.511797,0.523997,1.063405,0.029029,14.758621,2.180978,2.180978,1.236200,0.422493,0.536530,,,binance_rest,0.943826
run_20260429_074242_3656ab,BNB/USDT,crypto,D1,pullback,pullback_ema,pullback_period=50|rsi_reclaim=False|rsi_threshold=50|trend_period=200,both,all,WEAK_CANDIDATE,40,0.200000,3.598874,0.045051,0.045051,-0.326227,0.577871,1.169899,0.040040,17.675000,2.001930,2.001930,0.674608,0.166600,0.574087,,,binance_rest,0.911021
run_20260429_074242_3656ab,BNB/USDT,crypto,D1,trend_momentum,ema_alignment,adx_min=0|ema_long=200|ema_mid=50|ema_short=20,both,all,WEAK_CANDIDATE,20,0.300000,5.442295,0.086285,0.086285,-0.124108,0.563821,1.159568,0.020020,28.250000,1.893355,1.893355,1.056535,0.181063,0.451412,,,binance_rest,0.816904
run_20260429_074242_3656ab,BNB/USDT,crypto,D1,trend_momentum,ema_alignment,adx_min=20|ema_long=200|ema_mid=50|ema_short=20,both,all,WEAK_CANDIDATE,20,0.300000,5.442295,0.086285,0.086285,-0.124108,0.563821,1.159568,0.020020,28.250000,1.893355,1.893355,1.056535,0.181063,0.438079,,,binance_rest,0.810237
run_20260429_074242_3656ab,BNB/USDT,crypto,D1,pullback,pullback_ema,pullback_period=20|rsi_reclaim=False|rsi_threshold=50|trend_period=200,both,all,STRONG_CANDIDATE,70,0.342857,2.159508,0.015635,0.015635,-0.260788,0.680626,1.372706,0.070070,8.571429,1.318734,1.318734,0.520828,0.330027,0.770097,,,binance_rest,0.808123
run_20260429_074242_3656ab,BNB/USDT,crypto,D1,pullback,pullback_ema,pullback_period=20|rsi_reclaim=True|rsi_threshold=50|trend_period=200,both,all,STRONG_CANDIDATE,59,0.338983,2.169032,0.017494,0.017494,-0.260628,0.644765,1.301641,0.059059,8.745763,1.185013,1.185013,0.391182,0.370122,0.843849,,,binance_rest,0.803461
run_20260429_074242_3656ab,SOL/USDT,crypto,D1,trend_momentum,ema_alignment,adx_min=0|ema_long=200|ema_mid=50|ema_short=20,both,all,WEAK_CANDIDATE,21,0.333333,3.230732,0.068004,0.068004,-0.309619,0.689522,1.438267,0.021021,22.952381,1.769443,1.769443,1.455505,0.127039,0.432185,,,binance_rest,0.775690
run_20260429_074242_3656ab,SOL/USDT,crypto,H4,mean_reversion,bollinger_touch,num_std=2.0|period=20,both,all,STRONG_CANDIDATE,40,0.850000,2.493509,0.017901,0.017901,-0.362813,2.369058,2.018647,0.040040,12.425000,0.898263,0.898263,0.419655,0.372218,0.806088,,,binance_rest,0.712896
run_20260429_074242_3656ab,ETH/USDT,crypto,D1,pullback,pullback_ema,pullback_period=20|rsi_reclaim=True|rsi_threshold=50|trend_period=200,both,all,STRONG_CANDIDATE,53,0.301887,1.664879,0.015350,0.015350,-0.287267,0.526975,1.060249,0.053053,8.886792,0.754368,0.754368,0.143735,0.132107,0.835731,,,binance_rest,0.665381
run_20260429_074242_3656ab,ETH/USDT,crypto,D1,pullback,pullback_ema,pullback_period=20|rsi_reclaim=False|rsi_threshold=50|trend_period=200,both,all,STRONG_CANDIDATE,59,0.305085,1.636323,0.013948,0.013948,-0.287267,0.530871,1.067080,0.059059,8.474576,0.766610,0.766610,0.172996,0.111568,0.773474,,,binance_rest,0.638062
