strategy_name,total_configs,strong,weak,reject,avg_net_return,avg_win_rate,avg_robustness,avg_sqn,avg_oos_return,total_trades,pass_rate,verdict
london_breakout,12,0,0,2,-0.083695,0.350000,0.899410,-0.760221,-0.050031,192,0.000000,HURTS
ny_breakout,12,0,0,1,-0.050751,0.200000,0.870000,-0.483939,-0.076835,123,0.000000,HURTS
prev_day_hl,18,0,0,6,-0.170562,0.346375,0.810081,-0.751383,-0.125022,321,0.000000,HURTS
ob_bos,48,0,0,4,-0.042896,0.356629,0.786149,-1.027000,-0.038651,550,0.000000,HURTS
ema_cross,216,0,5,43,-0.071211,0.180618,0.746770,-2.203308,-0.049572,3365,0.023148,HURTS
ema_alignment,18,0,2,10,-0.065051,0.162915,0.636467,-1.058134,-0.036271,445,0.111111,HURTS
session_opening_range,24,0,6,16,-0.036404,0.345657,0.571820,-0.874541,-0.062173,1041,0.250000,HURTS
macd_direction,12,0,2,10,-0.075594,0.304708,0.559875,-0.800330,-0.056825,965,0.166667,HURTS
bollinger_touch,12,0,1,8,-0.125515,0.503870,0.524203,-1.085125,-0.015471,320,0.083333,HURTS
pullback_ema,24,0,7,17,0.042639,0.187475,0.504247,-0.727532,-0.046701,1247,0.291667,HURTS
structure_filters,24,0,4,20,-0.181637,0.308369,0.481118,-2.464627,-0.089188,3690,0.166667,HURTS
rsi_extreme,24,0,0,0,,,,,,286,0.000000,NEUTRAL
vwap_deviation,12,0,0,0,,,,,,75,0.000000,NEUTRAL
