strategy_name,total_configs,strong,weak,reject,avg_net_return,avg_win_rate,avg_robustness,avg_sqn,avg_oos_return,total_trades,pass_rate,verdict
london_breakout,12,0,0,2,-0.076209,0.146429,0.872754,-3.382418,-0.003630,193,0.000000,HURTS
prev_day_hl,18,0,0,6,-0.231873,0.275598,0.788859,-2.275730,-0.006489,304,0.000000,HURTS
ob_bos,48,0,0,8,-0.147220,0.182728,0.763747,-3.067908,-0.031806,649,0.000000,HURTS
ema_cross,216,0,0,51,-0.111064,0.144598,0.713851,-3.690613,-0.026320,3067,0.000000,HURTS
ema_alignment,18,1,3,8,-0.023249,0.241424,0.648695,-0.618688,-0.008954,403,0.222222,HURTS
macd_direction,12,0,0,12,-0.128409,0.284261,0.583514,-2.391756,-0.063946,924,0.000000,HURTS
bollinger_touch,12,0,4,7,0.027199,0.634038,0.536610,0.439891,0.000624,363,0.333333,HELPS
pullback_ema,24,0,4,20,-0.050570,0.211030,0.485491,-1.479250,-0.010356,1188,0.166667,HURTS
session_opening_range,24,1,1,22,-0.119827,0.260262,0.470922,-2.147540,-0.029505,1154,0.083333,HURTS
structure_filters,24,0,0,24,-0.188538,0.241204,0.454868,-4.277383,-0.044183,3617,0.000000,HURTS
ny_breakout,12,0,0,0,,,,,,112,0.000000,NEUTRAL
rsi_extreme,24,0,0,0,,,,,,288,0.000000,NEUTRAL
vwap_deviation,12,0,0,0,,,,,,94,0.000000,NEUTRAL
