run_id,symbol,asset_class,timeframe,family,strategy_name,params_str,direction,session,status,trade_count,win_rate,profit_factor,avg_return,expectancy,max_drawdown,sharpe,sqn,exposure_pct,avg_duration_bars,gross_return,net_return,is_return,oos_return,robustness_score,param_sensitivity,skip_reason,data_source,rank_score
run_20260429_080326_2366a3,MSFT,stock,H4,engine_b_proxy,structure_filters,fvg_detection=False|strong_close_pct=0.7,both,all,STRONG_CANDIDATE,57,0.368421,1.555787,0.003765,0.003765,-0.070014,2.571804,1.036274,0.236515,3.771930,0.213616,0.213616,0.087407,0.043816,0.683720,,,eodhd,0.426670
run_20260429_080326_2366a3,MSFT,stock,H4,engine_b_proxy,structure_filters,fvg_detection=False|strong_close_pct=0.8,both,all,WEAK_CANDIDATE,43,0.465116,1.677632,0.005112,0.005112,-0.101356,2.700755,1.092746,0.178423,5.023256,0.221076,0.221076,0.036493,0.093951,0.491333,,,eodhd,0.333844
run_20260429_080326_2366a3,MSFT,stock,H1,engine_b_proxy,structure_filters,fvg_detection=False|strong_close_pct=0.8,both,all,WEAK_CANDIDATE,117,0.367521,1.229741,0.001196,0.001196,-0.156591,1.992109,0.651018,0.181960,5.256410,0.124999,0.124999,0.262810,-0.097147,0.533333,,,eodhd,0.317187
run_20260429_080326_2366a3,AAPL,stock,M15,mean_reversion,bollinger_touch,num_std=2.5|period=20,both,all,WEAK_CANDIDATE,32,0.500000,2.049180,0.001694,0.001694,-0.025952,2.987029,1.191755,0.032032,12.718750,0.054577,0.054577,0.048702,0.005602,0.526506,,,eodhd,0.303461
run_20260429_080326_2366a3,TSLA,stock,H4,engine_b_proxy,structure_filters,fvg_detection=False|strong_close_pct=0.7,both,all,WEAK_CANDIDATE,58,0.327586,1.173144,0.001487,0.001487,-0.212157,1.012415,0.405472,0.240664,3.896552,0.066751,0.066751,-0.153020,0.236119,0.533333,,,eodhd,0.294801
run_20260429_080326_2366a3,AAPL,stock,M15,mean_reversion,bollinger_touch,num_std=2.0|period=20,both,all,WEAK_CANDIDATE,45,0.400000,1.174603,0.000370,0.000370,-0.027023,0.822656,0.321742,0.045045,13.488889,0.015438,0.015438,0.036784,-0.020588,0.536667,,,eodhd,0.279400
run_20260429_080326_2366a3,AAPL,stock,H1,trend_momentum,macd_direction,adx_min=0|fast=12|signal_period=9|slow=26,both,all,WEAK_CANDIDATE,40,0.450000,1.334104,0.002270,0.002270,-0.080891,2.106073,0.691081,0.062208,15.875000,0.085649,0.085649,0.124135,-0.046696,0.476364,,,eodhd,0.277698
run_20260429_080326_2366a3,NVDA,stock,M15,mean_reversion,bollinger_touch,num_std=2.5|period=20,both,all,WEAK_CANDIDATE,35,0.571429,1.280239,0.000621,0.000621,-0.053436,1.145689,0.448831,0.035035,14.028571,0.020762,0.020762,-0.010043,0.031118,0.510000,,,eodhd,0.270205
run_20260429_080326_2366a3,AAPL,stock,H1,trend_momentum,macd_direction,adx_min=20|fast=12|signal_period=9|slow=26,both,all,WEAK_CANDIDATE,40,0.450000,1.334104,0.002270,0.002270,-0.080891,2.106073,0.691081,0.062208,15.875000,0.085649,0.085649,0.124135,-0.046696,0.460000,,,eodhd,0.269516
run_20260429_080326_2366a3,AAPL,stock,H1,mean_reversion,bollinger_touch,num_std=2.0|period=20,both,all,WEAK_CANDIDATE,24,0.500000,1.129232,0.000983,0.000983,-0.088022,0.680705,0.222345,0.037325,16.291667,0.018118,0.018118,-0.066469,0.094019,0.410667,,,eodhd,0.215216
run_20260429_080326_2366a3,AAPL,stock,H4,trend_momentum,macd_direction,adx_min=0|fast=12|signal_period=9|slow=26,both,all,WEAK_CANDIDATE,20,0.450000,1.189891,0.001833,0.001833,-0.148057,0.685303,0.274642,0.082988,11.600000,0.028444,0.028444,0.149521,-0.095565,0.356364,,,eodhd,0.192208
run_20260429_080326_2366a3,TSLA,stock,M15,breakout,session_opening_range,atr_expand_min=0.5|range_bars=12,both,all,WEAK_CANDIDATE,20,0.400000,1.240680,0.001489,0.001489,-0.053703,0.941275,0.368955,0.020020,45.050000,0.026917,0.026917,-0.013835,0.047627,0.353333,,,eodhd,0.192121
run_20260429_080326_2366a3,MSFT,stock,H1,pullback,pullback_ema,pullback_period=50|rsi_reclaim=False|rsi_threshold=50|trend_period=200,both,all,WEAK_CANDIDATE,20,0.150000,1.067072,0.000465,0.000465,-0.064018,0.272773,0.089027,0.031104,16.300000,0.004060,0.004060,-0.011835,-0.064018,0.353333,,,eodhd,0.179665
