strategy_name,total_configs,strong,weak,reject,avg_net_return,avg_win_rate,avg_robustness,avg_sqn,avg_oos_return,total_trades,pass_rate,verdict
rsi_extreme,60,0,1,0,0.067324,0.761905,0.979259,1.444498,0.019677,676,0.016667,HELPS
vwap_deviation,30,0,2,0,0.236205,0.877381,0.951948,6.012678,0.071768,351,0.066667,HELPS
ny_breakout,30,0,0,4,-0.109142,0.225000,0.911482,-1.280360,-0.063360,298,0.000000,HURTS
prev_day_hl,45,0,6,12,-0.139828,0.339948,0.795966,-0.863281,-0.147085,1027,0.133333,HURTS
ob_bos,120,0,0,19,-0.299226,0.254772,0.793781,-1.982040,-0.075481,1687,0.000000,HURTS
ema_cross,540,0,0,247,-0.245678,0.172747,0.685621,-2.797035,-0.083437,10197,0.000000,HURTS
macd_direction,30,1,7,22,-0.169441,0.330858,0.596962,-1.276795,-0.123356,2230,0.266667,HURTS
bollinger_touch,30,3,13,14,0.095629,0.651337,0.534109,0.206138,0.051765,945,0.533333,HELPS
structure_filters,60,0,4,50,-0.199484,0.277688,0.501265,-3.035253,-0.059335,8304,0.066667,HURTS
pullback_ema,60,0,3,57,-0.151758,0.164114,0.478495,-2.593002,-0.061037,3345,0.050000,HURTS
session_opening_range,60,0,2,58,-0.130596,0.292645,0.443916,-1.251845,-0.080941,2750,0.033333,HURTS
ema_alignment,45,0,2,37,-0.085357,0.185902,0.424878,-2.466915,-0.039902,1190,0.044444,HURTS
london_breakout,30,0,0,0,,,,,,391,0.000000,NEUTRAL
