run_id,symbol,asset_class,timeframe,family,strategy_name,params_str,direction,session,status,trade_count,win_rate,profit_factor,avg_return,expectancy,max_drawdown,sharpe,sqn,exposure_pct,avg_duration_bars,gross_return,net_return,is_return,oos_return,robustness_score,param_sensitivity,skip_reason,data_source
run_20260429_080724_13fae5,BNB/USDT,crypto,M15,trend_momentum,ema_cross,adx_min=0|fast_period=10|rsi_confirm=False|slow_period=50,both,all,REJECT,34,0.176471,0.237452,-0.003389,-0.003389,-0.112311,-8.485821,-3.997520,0.034034,27.735294,-0.109366,-0.109366,-0.081321,-0.025971,0.399809,,,binance_rest
run_20260429_080724_13fae5,BNB/USDT,crypto,M15,trend_momentum,ema_cross,adx_min=0|fast_period=10|rsi_confirm=True|slow_period=50,both,all,REJECT,32,0.156250,0.203735,-0.003698,-0.003698,-0.112133,-8.868555,-4.341455,0.032032,27.593750,-0.112133,-0.112133,-0.084175,-0.025971,0.384560,,,binance_rest
run_20260429_080724_13fae5,BNB/USDT,crypto,M15,trend_momentum,ema_cross,adx_min=20|fast_period=10|rsi_confirm=False|slow_period=50,both,all,REJECT,33,0.181818,0.245269,-0.003345,-0.003345,-0.108017,-8.204532,-3.833915,0.033033,28.060606,-0.105057,-0.105057,-0.076876,-0.025971,0.399348,,,binance_rest
run_20260429_080724_13fae5,BNB/USDT,crypto,M15,trend_momentum,ema_cross,adx_min=20|fast_period=10|rsi_confirm=True|slow_period=50,both,all,REJECT,31,0.161290,0.210557,-0.003662,-0.003662,-0.107838,-8.587102,-4.166753,0.031031,27.935484,-0.107838,-0.107838,-0.079745,-0.025971,0.383702,,,binance_rest
run_20260429_080724_13fae5,BNB/USDT,crypto,M15,trend_momentum,ema_cross,adx_min=25|fast_period=10|rsi_confirm=False|slow_period=50,both,all,REJECT,23,0.217391,0.330999,-0.002969,-0.002969,-0.069534,-5.675112,-2.492555,0.023023,32.173913,-0.066447,-0.066447,-0.041346,-0.019557,0.379900,,,binance_rest
run_20260429_080724_13fae5,BNB/USDT,crypto,M15,trend_momentum,ema_cross,adx_min=25|fast_period=10|rsi_confirm=True|slow_period=50,both,all,REJECT,21,0.190476,0.283000,-0.003401,-0.003401,-0.069348,-6.067241,-2.759001,0.021021,32.380952,-0.069348,-0.069348,-0.044325,-0.019557,0.358364,,,binance_rest
run_20260429_080724_13fae5,BNB/USDT,crypto,M15,trend_momentum,ema_cross,adx_min=0|fast_period=10|rsi_confirm=False|slow_period=100,both,all,REJECT,28,0.178571,0.212969,-0.003242,-0.003242,-0.089697,-7.924641,-3.790002,0.028028,34.750000,-0.087167,-0.087167,-0.067911,-0.022905,0.369183,,,binance_rest
run_20260429_080724_13fae5,BNB/USDT,crypto,M15,trend_momentum,ema_cross,adx_min=0|fast_period=10|rsi_confirm=True|slow_period=100,both,all,REJECT,23,0.173913,0.198165,-0.003467,-0.003467,-0.076996,-7.386195,-3.589336,0.023023,36.695652,-0.076996,-0.076996,-0.059894,-0.020443,0.340398,,,binance_rest
run_20260429_080724_13fae5,BNB/USDT,crypto,M15,trend_momentum,ema_cross,adx_min=20|fast_period=10|rsi_confirm=False|slow_period=100,both,all,REJECT,27,0.185185,0.221490,-0.003197,-0.003197,-0.085641,-7.619662,-3.608108,0.027027,35.444444,-0.083100,-0.083100,-0.063758,-0.022905,0.369775,,,binance_rest
run_20260429_080724_13fae5,BNB/USDT,crypto,M15,trend_momentum,ema_cross,adx_min=20|fast_period=10|rsi_confirm=True|slow_period=100,both,all,REJECT,22,0.181818,0.207419,-0.003423,-0.003423,-0.072883,-7.061668,-3.391577,0.022022,37.636364,-0.072883,-0.072883,-0.055705,-0.020443,0.342099,,,binance_rest
run_20260429_080724_13fae5,BNB/USDT,crypto,M15,trend_momentum,ema_cross,adx_min=25|fast_period=10|rsi_confirm=False|slow_period=100,both,all,REJECT,20,0.200000,0.271277,-0.002963,-0.002963,-0.060476,-5.820043,-2.631308,0.020020,39.700000,-0.057865,-0.057865,-0.047616,-0.010761,0.287801,,,binance_rest
run_20260429_080724_13fae5,BNB/USDT,crypto,M15,trend_momentum,ema_cross,adx_min=25|fast_period=10|rsi_confirm=True|slow_period=100,both,all,NEEDS_MORE_DATA,15,,,,,,,,,,,,,,1.000000,,only 15 trades < min 20,binance_rest
run_20260429_080724_13fae5,BNB/USDT,crypto,M15,trend_momentum,ema_cross,adx_min=0|fast_period=10|rsi_confirm=False|slow_period=200,both,all,REJECT,20,0.150000,0.102930,-0.004264,-0.004264,-0.084352,-8.195521,-4.538454,0.020020,49.200000,-0.082082,-0.082082,-0.072147,-0.009115,0.257903,,,binance_rest
run_20260429_080724_13fae5,BNB/USDT,crypto,M15,trend_momentum,ema_cross,adx_min=0|fast_period=10|rsi_confirm=True|slow_period=200,both,all,NEEDS_MORE_DATA,16,,,,,,,,,,,,,,1.000000,,only 16 trades < min 20,binance_rest
run_20260429_080724_13fae5,BNB/USDT,crypto,M15,trend_momentum,ema_cross,adx_min=20|fast_period=10|rsi_confirm=False|slow_period=200,both,all,REJECT,20,0.150000,0.102930,-0.004264,-0.004264,-0.084352,-8.195521,-4.538454,0.020020,49.200000,-0.082082,-0.082082,-0.072147,-0.009115,0.257903,,,binance_rest
run_20260429_080724_13fae5,BNB/USDT,crypto,M15,trend_momentum,ema_cross,adx_min=20|fast_period=10|rsi_confirm=True|slow_period=200,both,all,NEEDS_MORE_DATA,16,,,,,,,,,,,,,,1.000000,,only 16 trades < min 20,binance_rest
run_20260429_080724_13fae5,BNB/USDT,crypto,M15,trend_momentum,ema_cross,adx_min=25|fast_period=10|rsi_confirm=False|slow_period=200,both,all,NEEDS_MORE_DATA,14,,,,,,,,,,,,,,1.000000,,only 14 trades < min 20,binance_rest
