strategy_name,total_configs,strong,weak,reject,avg_net_return,avg_win_rate,avg_robustness,avg_sqn,avg_oos_return,total_trades,pass_rate,verdict
rsi_extreme,32,0,1,0,0.037353,0.750000,0.973891,2.102986,0.017570,358,0.031250,HELPS
vwap_deviation,16,0,1,0,0.408012,0.958333,0.960198,9.657219,0.131110,148,0.062500,HELPS
london_breakout,16,0,0,10,-0.022552,0.307692,0.933777,-0.711885,-0.012769,147,0.000000,HURTS
ob_bos,64,0,2,7,-0.076120,0.330682,0.785135,-1.154176,-0.048130,844,0.031250,HURTS
ema_cross,288,0,11,61,-0.079335,0.234980,0.769394,-1.659736,-0.040772,4589,0.038194,HURTS
bollinger_touch,16,1,2,8,0.007983,0.590411,0.595855,-0.092640,0.033250,453,0.187500,HELPS
macd_direction,16,0,7,9,-0.016638,0.398046,0.582706,-0.156863,-0.057659,1152,0.437500,HURTS
pullback_ema,32,0,1,29,-0.067997,0.224559,0.505341,-1.470976,-0.037634,1578,0.031250,HURTS
session_opening_range,32,0,8,24,-0.042589,0.386077,0.475648,-0.494868,-0.070056,1427,0.250000,HURTS
structure_filters,32,0,3,29,-0.175145,0.283417,0.460060,-2.558043,-0.067063,4767,0.093750,HURTS
prev_day_hl,24,0,5,19,-0.082364,0.377799,0.447630,-0.654010,-0.041932,1807,0.208333,HURTS
ema_alignment,24,0,2,20,-0.055964,0.244235,0.413243,-1.540153,-0.017444,619,0.083333,HURTS
ny_breakout,16,0,0,8,,,,,,0,0.000000,NEUTRAL
