run_id,symbol,asset_class,timeframe,family,strategy_name,params_str,direction,session,status,trade_count,win_rate,profit_factor,avg_return,expectancy,max_drawdown,sharpe,sqn,exposure_pct,avg_duration_bars,gross_return,net_return,is_return,oos_return,robustness_score,param_sensitivity,skip_reason,data_source,rank_score
run_20260429_081031_bb52a2,AUD/USD,forex,D1,mean_reversion,vwap_deviation,std_threshold=1.5,both,all,WEAK_CANDIDATE,24,0.958333,79.577477,0.014386,0.014386,-0.004394,2.214463,9.657219,0.024024,27.958333,0.408012,0.408012,0.285876,0.131110,0.681587,,,mt5,0.563197
run_20260429_081031_bb52a2,AUD/USD,forex,D1,mean_reversion,bollinger_touch,num_std=2.0|period=20,both,all,STRONG_CANDIDATE,41,0.682927,2.591300,0.006359,0.006359,-0.053564,1.173435,2.502945,0.041041,10.804878,0.289775,0.289775,0.176297,0.096471,0.660162,,,mt5,0.467073
run_20260429_081031_bb52a2,USD/JPY,forex,H4,mean_reversion,rsi_extreme,overbought=70|oversold=30|period=14,both,all,WEAK_CANDIDATE,20,0.750000,2.871188,0.001843,0.001843,-0.010164,2.344338,2.102986,0.020020,12.500000,0.037353,0.037353,0.019441,0.017570,0.791127,,,mt5,0.448829
run_20260429_081031_bb52a2,GBP/USD,forex,D1,trend_momentum,macd_direction,adx_min=0|fast=12|signal_period=9|slow=26,both,all,WEAK_CANDIDATE,63,0.492063,1.332235,0.002024,0.002024,-0.060566,0.422887,0.846893,0.063063,15.603175,0.123327,0.123327,0.144947,-0.060369,0.600000,,,mt5,0.353936
run_20260429_081031_bb52a2,GBP/USD,forex,D1,trend_momentum,macd_direction,adx_min=20|fast=12|signal_period=9|slow=26,both,all,WEAK_CANDIDATE,59,0.508475,1.417536,0.002543,0.002543,-0.050193,0.500069,1.004139,0.059059,16.016949,0.149025,0.149025,0.151866,-0.044647,0.575000,,,mt5,0.352290
run_20260429_081031_bb52a2,USD/JPY,forex,H4,trend_momentum,macd_direction,adx_min=0|fast=12|signal_period=9|slow=26,both,all,WEAK_CANDIDATE,63,0.428571,1.483935,0.001094,0.001094,-0.092549,1.241051,1.017018,0.063063,15.793651,0.068879,0.068879,0.172003,-0.092363,0.600000,,,mt5,0.341004
run_20260429_081031_bb52a2,USD/JPY,forex,H4,trend_momentum,macd_direction,adx_min=20|fast=12|signal_period=9|slow=26,both,all,WEAK_CANDIDATE,60,0.416667,1.390152,0.000921,0.000921,-0.092549,1.007554,0.823737,0.060060,15.683333,0.054424,0.054424,0.156153,-0.092363,0.575000,,,mt5,0.320302
run_20260429_081031_bb52a2,USD/JPY,forex,D1,breakout,session_opening_range,atr_expand_min=0.5|range_bars=12,both,all,WEAK_CANDIDATE,26,0.538462,2.221316,0.009615,0.009615,-0.074223,0.738485,1.534617,0.026026,36.269231,0.266163,0.266163,0.199089,0.007950,0.417979,,,mt5,0.319531
run_20260429_081031_bb52a2,USD/JPY,forex,D1,breakout,session_opening_range,atr_expand_min=0.0|range_bars=12,both,all,WEAK_CANDIDATE,26,0.538462,2.221316,0.009615,0.009615,-0.074223,0.738485,1.534617,0.026026,36.269231,0.266163,0.266163,0.199089,0.007950,0.417979,,,mt5,0.319531
run_20260429_081031_bb52a2,EUR/USD,forex,D1,mean_reversion,bollinger_touch,num_std=2.5|period=20,both,all,WEAK_CANDIDATE,22,0.636364,1.530441,0.002432,0.002432,-0.043302,0.430163,0.871244,0.022022,16.090909,0.052906,0.052906,0.042587,0.022929,0.560186,,,mt5,0.313390
