feature,engine,present_n,absent_n,present_wr,absent_wr,present_pf,absent_pf,present_avg_r,absent_avg_r,uplift_avg_r,uplift_pf,confidence,verdict
addon_positive(>0.05),ENGINE_A,1084,4645,0.4059,0.2911,0.8671,0.3696,-0.0893,-0.6511,0.5618,0.4975,HIGH,NEUTRAL
momentum_high(>=0.6),ENGINE_A,0,5729,0.0,0.3128,0.0,0.4352,0.0,-0.5448,0.5448,-0.4352,LOW,INSUFFICIENT_SAMPLE
score>=1.5_AND_mom>=0.6,ENGINE_A,0,5729,0.0,0.3128,0.0,0.4352,0.0,-0.5448,0.5448,-0.4352,LOW,INSUFFICIENT_SAMPLE
score>=2.0,ENGINE_A,4448,1281,0.3339,0.2397,0.5184,0.2221,-0.4303,-0.9421,0.5118,0.2963,HIGH,HARMFUL
regime_trending,ENGINE_A,2682,3047,0.3404,0.2885,0.5269,0.3659,-0.4196,-0.655,0.2354,0.161,HIGH,HARMFUL
score>=1.5_AND_trending,ENGINE_A,2682,3047,0.3404,0.2885,0.5269,0.3659,-0.4196,-0.655,0.2354,0.161,HIGH,HARMFUL
out_of_sample,ENGINE_A,2053,3676,0.3351,0.3003,0.5315,0.388,-0.415,-0.6173,0.2023,0.1435,HIGH,HARMFUL
direction_LONG,ENGINE_A,3332,2397,0.2776,0.3617,0.3112,0.6842,-0.7625,-0.242,-0.5205,-0.373,HIGH,HARMFUL
trend_aligned,ENGINE_A,5729,0,0.3128,0.0,0.4352,0.0,-0.5448,0.0,-0.5448,0.4352,LOW,INSUFFICIENT_SAMPLE
trend_strong_aligned(>=2),ENGINE_A,5729,0,0.3128,0.0,0.4352,0.0,-0.5448,0.0,-0.5448,0.4352,LOW,INSUFFICIENT_SAMPLE
score>=1.5,ENGINE_A,5729,0,0.3128,0.0,0.4352,0.0,-0.5448,0.0,-0.5448,0.4352,LOW,INSUFFICIENT_SAMPLE
