dimension,value,ea_n,ea_wr,ea_pf,ea_avg_r,eb_n,eb_wr,eb_pf,eb_avg_r,edge_diff_avg_r,winner
asset_group,crypto_alt,492,0.372,0.8215,-0.123,148,0.2905,0.8395,-0.1016,-0.0214,B
asset_group,crypto_major,3029,0.3757,0.724,-0.2035,1654,0.3229,0.9234,-0.0492,-0.1543,B
asset_group,forex_major,52,0.3269,0.7264,-0.1825,0,0.0,0.0,0.0,-0.1825,B
asset_group,index,2156,0.2106,0.166,-1.1292,0,0.0,0.0,0.0,-1.1292,B
regime,ranging,3047,0.2885,0.3659,-0.655,1096,0.3349,0.9598,-0.0251,-0.6299,B
regime,trending,2682,0.3404,0.5269,-0.4196,706,0.2975,0.8538,-0.0975,-0.3221,B
direction,LONG,3332,0.2776,0.3112,-0.7625,979,0.3034,0.8276,-0.1129,-0.6496,B
direction,SHORT,2397,0.3617,0.6842,-0.242,823,0.3402,1.0275,0.0172,-0.2592,B
pair,ADA/USDT,492,0.372,0.8215,-0.123,148,0.2905,0.8395,-0.1016,-0.0214,B
pair,BNB/USDT,543,0.3591,0.6394,-0.2851,260,0.3308,0.9539,-0.0298,-0.2553,B
pair,BTC/USDT,579,0.3575,0.5908,-0.3357,290,0.3862,1.1749,0.1044,-0.4401,B
pair,ETH/USDT,457,0.4004,0.8471,-0.1029,312,0.3013,0.8985,-0.0624,-0.0405,B
pair,EUR/USD,52,0.3269,0.7264,-0.1825,0,0.0,0.0,0.0,-0.1825,B
pair,LTC/USDT,474,0.3692,0.7543,-0.1791,260,0.2692,0.7294,-0.189,0.0099,A
pair,S&P 500,2156,0.2106,0.166,-1.1292,0,0.0,0.0,0.0,-1.1292,B
pair,SOL/USDT,488,0.3873,0.7592,-0.1681,260,0.2923,0.7756,-0.158,-0.0101,B
pair,XRP/USDT,488,0.3873,0.8413,-0.109,272,0.3529,1.0355,0.0214,-0.1304,B
exit_reason,BE,0,0.0,0.0,0.0,105,0.0,0.0,-0.035,0.035,A
exit_reason,SL,3666,0.0,0.0,-1.4803,1104,0.0,0.0,-1.0382,-0.4421,B
exit_reason,TIMEOUT,654,0.5856,2.2319,0.1863,75,0.7867,8.2144,0.5069,-0.3206,B
exit_reason,TP1,1157,1.0,999.0,1.3438,518,1.0,999.0,1.9603,-0.6165,B
exit_reason,TP2,252,1.0,999.0,2.4976,0,0.0,0.0,0.0,2.4976,A
