feature,engine,present_n,absent_n,present_wr,absent_wr,present_pf,absent_pf,present_avg_r,absent_avg_r,uplift_avg_r,uplift_pf,confidence,verdict
bos_mtf_confirmed,ENGINE_B,609,1193,0.3481,0.306,1.0931,0.8344,0.0561,-0.1094,0.1655,0.2587,HIGH,KEEP_WEAK_EDGE
bos_mtf_confirmed,ENGINE_B,609,1193,0.3481,0.306,1.0931,0.8344,0.0561,-0.1094,0.1655,0.2587,HIGH,KEEP_WEAK_EDGE
ob_at_zone,ENGINE_B,257,1545,0.3658,0.3126,1.1437,0.8806,0.0883,-0.0771,0.1654,0.2631,HIGH,KEEP_STRONG_EDGE
fvg_overlap,ENGINE_B,1117,685,0.3268,0.3095,0.9715,0.8324,-0.0179,-0.1115,0.0936,0.1391,HIGH,NEUTRAL
volume_strength>0,ENGINE_B,0,1802,0.0,0.3202,0.0,0.9166,0.0,-0.0535,0.0535,-0.9166,LOW,INSUFFICIENT_SAMPLE
fvg_bonus>0,ENGINE_B,0,1802,0.0,0.3202,0.0,0.9166,0.0,-0.0535,0.0535,-0.9166,LOW,INSUFFICIENT_SAMPLE
ob_at_zone_AND_vol_strength>0,ENGINE_B,0,1802,0.0,0.3202,0.0,0.9166,0.0,-0.0535,0.0535,-0.9166,LOW,INSUFFICIENT_SAMPLE
out_of_sample,ENGINE_B,392,1410,0.3189,0.3206,0.8983,0.9218,-0.0668,-0.0498,-0.017,-0.0235,HIGH,NEUTRAL
breaker_active,ENGINE_B,80,1722,0.3375,0.3194,0.8656,0.9189,-0.0858,-0.052,-0.0338,-0.0533,MEDIUM,NEUTRAL
rr_target>=2.0,ENGINE_B,1802,0,0.3202,0.0,0.9166,0.0,-0.0535,0.0,-0.0535,0.9166,LOW,INSUFFICIENT_SAMPLE
regime_trending,ENGINE_B,706,1096,0.2975,0.3349,0.8538,0.9598,-0.0975,-0.0251,-0.0724,-0.106,HIGH,NEUTRAL
bos_volume_confirmed,ENGINE_B,976,826,0.3105,0.3317,0.8619,0.9828,-0.0895,-0.0109,-0.0786,-0.1209,HIGH,NEUTRAL
sweep_AND_bos_vol_confirmed,ENGINE_B,95,1707,0.2842,0.3222,0.8022,0.9235,-0.1373,-0.0488,-0.0885,-0.1213,MEDIUM,HARMFUL
zone_touched,ENGINE_B,802,1000,0.288,0.346,0.7885,1.026,-0.1404,0.0162,-0.1566,-0.2375,HIGH,HARMFUL
liquidity_sweep,ENGINE_B,110,1692,0.2636,0.3239,0.699,0.932,-0.2091,-0.0434,-0.1657,-0.233,HIGH,HARMFUL
sweep_AND_bos_mtf,ENGINE_B,22,1780,0.1818,0.3219,0.4686,0.9232,-0.4041,-0.0491,-0.355,-0.4546,LOW,INSUFFICIENT_SAMPLE
choch_confirmed,ENGINE_B,10,1792,0.0,0.322,0.0,0.9248,-1.032,-0.048,-0.984,-0.9248,LOW,INSUFFICIENT_SAMPLE
