engine,pair,direction,band,score_low,score_high_exclusive,n,win_pct,expR,SQN,profit_factor,avg_win_R,avg_loss_R,max_drawdown_R,median_resultR,worst_resultR,best_resultR
Engine B,XAU/USD,SHORT,bottom_25pct,,4.75,3,33.33,-0.07,-0.073,0.898,1.85,-1.03,2.06,-1.02,-1.04,1.85
Engine B,XAU/USD,SHORT,25_50pct,4.75,5.0,9,33.33,-0.5911,-2.632,0.143,0.2967,-1.035,5.32,-1.02,-1.08,0.53
Engine B,XAU/USD,SHORT,50_75pct,5.0,5.75,15,40.0,-0.0947,-0.311,0.831,1.165,-0.9344,6.35,-1.02,-1.05,1.82
Engine B,XAU/USD,SHORT,top_25pct,5.75,,10,40.0,0.001,0.002,1.002,1.54,-1.025,4.12,-1.01,-1.06,1.89
Engine B,XAU/USD,SHORT,top_10pct,6.0,,9,44.44,0.1189,0.257,1.21,1.54,-1.018,3.06,-1.01,-1.03,1.89
Engine B,XAU/USD,LONG,bottom_25pct,,5.0,14,28.57,-0.6071,-3.137,0.179,0.4625,-1.035,8.5,-1.03,-1.05,0.96
Engine B,XAU/USD,LONG,25_50pct,5.0,5.0,0,,,,,,,0.0,,,
Engine B,XAU/USD,LONG,50_75pct,5.0,6.0,34,55.88,0.4026,2.023,2.218,1.3121,-0.7493,2.1,0.36,-1.06,1.97
Engine B,XAU/USD,LONG,top_25pct,6.0,,31,51.61,0.1597,0.767,1.349,1.195,-0.9447,4.71,0.33,-1.04,1.9
Engine B,XAU/USD,LONG,top_10pct,6.0,,31,51.61,0.1597,0.767,1.349,1.195,-0.9447,4.71,0.33,-1.04,1.9
Engine B,XAG/USD,SHORT,bottom_25pct,,4.75,3,33.33,-0.0467,-0.048,0.931,1.9,-1.02,2.04,-1.02,-1.02,1.9
Engine B,XAG/USD,SHORT,25_50pct,4.75,5.0,18,33.33,-0.2189,-0.832,0.642,1.18,-0.9183,5.87,-1.01,-1.03,1.93
Engine B,XAG/USD,SHORT,50_75pct,5.0,5.0,0,,,,,,,0.0,,,
Engine B,XAG/USD,SHORT,top_25pct,5.0,,23,43.48,0.0378,0.145,1.069,1.342,-0.9654,6.07,-1.01,-1.03,1.89
Engine B,XAG/USD,SHORT,top_10pct,5.0,,23,43.48,0.0378,0.145,1.069,1.342,-0.9654,6.07,-1.01,-1.03,1.89
Engine B,XAG/USD,LONG,bottom_25pct,,5.0,9,44.44,-0.1733,-0.608,0.586,0.5525,-0.754,3.52,-0.08,-1.02,1.54
Engine B,XAG/USD,LONG,25_50pct,5.0,5.0,0,,,,,,,0.0,,,
Engine B,XAG/USD,LONG,50_75pct,5.0,6.0,22,27.27,-0.2823,-1.106,0.602,1.5667,-0.9756,7.1,-1.01,-1.03,1.9
Engine B,XAG/USD,LONG,top_25pct,6.0,,23,65.22,0.6357,2.492,3.381,1.384,-0.7675,2.03,0.71,-1.02,1.99
Engine B,XAG/USD,LONG,top_10pct,6.0,,23,65.22,0.6357,2.492,3.381,1.384,-0.7675,2.03,0.71,-1.02,1.99
Engine B,ETH/USDT,SHORT,bottom_25pct,,5.0,9,44.44,0.1378,0.295,1.238,1.6125,-1.042,4.16,-1.03,-1.06,1.74
Engine B,ETH/USDT,SHORT,25_50pct,5.0,5.75,21,42.86,0.0648,0.222,1.11,1.5311,-1.035,6.55,-1.02,-1.06,1.97
Engine B,ETH/USDT,SHORT,50_75pct,5.75,6.0,10,40.0,0.073,0.161,1.117,1.74,-1.0383,2.09,-1.025,-1.06,1.8
Engine B,ETH/USDT,SHORT,top_25pct,6.0,,23,34.78,-0.0557,-0.213,0.905,1.5325,-0.9027,4.54,-1.02,-1.06,1.98
Engine B,ETH/USDT,SHORT,top_10pct,6.160000000000001,,7,28.57,-0.2971,-0.617,0.599,1.555,-1.038,2.1,-1.03,-1.06,1.81
Engine B,BTC/USDT,SHORT,bottom_25pct,,5.0,9,44.44,0.1044,0.223,1.174,1.585,-1.08,3.24,-1.04,-1.12,1.61
Engine B,BTC/USDT,SHORT,25_50pct,5.0,6.0,18,33.33,-0.1494,-0.475,0.79,1.6833,-1.0658,3.5,-1.055,-1.1,1.88
Engine B,BTC/USDT,SHORT,50_75pct,6.0,6.7,16,18.75,-0.5363,-2.024,0.357,1.5867,-1.0262,10.49,-1.04,-1.08,1.79
Engine B,BTC/USDT,SHORT,top_25pct,6.7,,15,40.0,-0.022,-0.065,0.963,1.4367,-0.9944,4.18,-1.02,-1.06,1.97
Engine B,BTC/USDT,SHORT,top_10pct,7.0,,12,41.67,0.0183,0.048,1.032,1.412,-0.9771,3.54,-0.805,-1.06,1.97
Engine B,BTC/USDT,LONG,bottom_25pct,,5.0,15,20.0,-0.6227,-2.458,0.275,1.18,-1.0733,12.88,-1.05,-1.16,1.65
Engine B,BTC/USDT,LONG,25_50pct,5.0,5.75,17,35.29,-0.1976,-0.657,0.71,1.3683,-1.0518,6.79,-1.05,-1.07,1.78
Engine B,BTC/USDT,LONG,50_75pct,5.75,6.0,11,36.36,-0.1745,-0.456,0.742,1.3775,-1.0614,5.85,-1.05,-1.1,1.74
Engine B,BTC/USDT,LONG,top_25pct,6.0,,29,48.28,0.159,0.709,1.337,1.305,-0.9107,4.16,-0.06,-1.07,1.75
Engine B,BTC/USDT,LONG,top_10pct,7.0,,9,55.56,0.2056,0.534,1.518,1.084,-0.8925,2.61,0.22,-1.07,1.59
Engine B,GBP/USD,SHORT,bottom_25pct,,4.75,4,50.0,-0.0375,-0.055,0.93,1.0,-1.075,2.15,-0.435,-1.1,1.82
Engine B,GBP/USD,SHORT,25_50pct,4.75,5.0,26,23.08,-0.4431,-1.804,0.484,1.7983,-1.1155,12.19,-1.105,-1.18,1.85
Engine B,GBP/USD,SHORT,50_75pct,5.0,5.75,21,19.05,-0.499,-1.938,0.415,1.855,-1.0529,13.17,-1.09,-1.19,1.92
Engine B,GBP/USD,SHORT,top_25pct,5.75,,22,31.82,-0.1636,-0.555,0.779,1.8129,-1.086,4.29,-1.07,-1.12,1.91
Engine B,GBP/USD,SHORT,top_10pct,6.0,,17,35.29,-0.0618,-0.178,0.912,1.815,-1.0855,5.37,-1.07,-1.12,1.91
Engine B,EUR/USD,SHORT,bottom_25pct,,4.75,1,100.0,1.73,,,1.73,,0.0,1.73,1.73,1.73
Engine B,EUR/USD,SHORT,25_50pct,4.75,5.0,16,31.25,-0.3294,-1.066,0.569,1.394,-1.1127,5.27,-1.1,-1.14,1.8
Engine B,EUR/USD,SHORT,50_75pct,5.0,5.0,0,,,,,,,0.0,,,
