engine,pair,direction,band,score_low,score_high_exclusive,n,win_pct,expR,SQN,profit_factor,avg_win_R,avg_loss_R,max_drawdown_R,median_resultR,worst_resultR,best_resultR
Engine A,BTC/USDT,LONG,bottom_25pct,,1.0253,13,61.54,0.2042,0.858,1.694,0.8103,-0.7654,1.672,0.4435,-1.1013,0.9788
Engine A,BTC/USDT,LONG,25_50pct,1.0253,1.2562,13,69.23,0.3403,1.712,2.964,0.7417,-0.5631,1.797,0.4173,-1.0789,0.9842
Engine A,BTC/USDT,LONG,50_75pct,1.2562,1.5377,13,53.85,-0.0114,-0.048,0.97,0.6899,-0.8294,3.081,0.2984,-1.0349,0.9785
Engine A,BTC/USDT,LONG,top_25pct,1.5377,,14,57.14,0.1568,0.727,1.56,0.7644,-0.6535,1.602,0.1683,-1.0277,0.9843
Engine A,BTC/USDT,LONG,top_10pct,1.71392,,6,66.67,0.4392,1.714,5.569,0.8029,-0.2883,0.431,0.6253,-0.4313,0.9843
Engine A,ETH/USDT,LONG,bottom_25pct,,0.8452,13,84.62,0.545,3.078,6.385,0.7637,-0.6578,1.015,0.9647,-1.015,0.9838
Engine A,ETH/USDT,LONG,25_50pct,0.8452,1.1386500000000002,12,41.67,-0.1345,-0.64,0.637,0.5674,-0.6359,2.64,-0.2267,-1.0373,0.9846
Engine A,ETH/USDT,LONG,50_75pct,1.1386500000000002,1.469025,12,58.33,0.0928,0.333,1.232,0.8451,-0.9605,2.691,0.5246,-1.0287,0.9862
Engine A,ETH/USDT,LONG,top_25pct,1.469025,,13,69.23,0.2528,1.089,1.987,0.735,-0.8322,2.029,0.5752,-1.018,0.9857
Engine A,ETH/USDT,LONG,top_10pct,1.64153,,5,60.0,0.1649,0.432,1.634,0.7081,-0.6499,1.014,0.1715,-1.0144,0.9857
Engine A,XAG/USD,LONG,bottom_25pct,,1.5545,8,75.0,0.5632,2.035,4.367,0.9739,-0.6691,1.338,0.981,-1.0109,0.9947
Engine A,XAG/USD,LONG,25_50pct,1.5545,2.0492,7,71.43,0.384,1.064,2.333,0.9409,-1.008,1.01,0.9231,-1.0101,1.0298
Engine A,XAG/USD,LONG,50_75pct,2.0492,2.1090999999999998,8,62.5,0.1344,0.529,1.616,0.5639,-0.5814,1.005,0.0636,-1.0054,0.9919
Engine A,XAG/USD,LONG,top_25pct,2.1090999999999998,,8,75.0,0.4155,1.472,3.072,0.8214,-0.802,1.005,0.8213,-1.0048,1.0059
Engine A,XAG/USD,LONG,top_10pct,2.1407,,4,75.0,0.4068,0.853,2.62,0.8774,-1.0048,1.005,0.8213,-1.0048,0.9896
Engine A,EUR/USD,SHORT,bottom_25pct,,0.876,19,52.63,-0.0886,-0.386,0.827,0.8044,-1.0807,4.337,0.7111,-1.2606,0.8624
Engine A,EUR/USD,SHORT,25_50pct,0.876,1.12755,19,78.95,0.2881,1.829,2.629,0.5889,-0.84,1.186,0.6485,-1.1862,0.9033
Engine A,EUR/USD,SHORT,50_75pct,1.12755,1.4292500000000001,19,63.16,0.158,0.788,1.478,0.7736,-0.8973,3.791,0.7215,-1.2447,0.9094
Engine A,EUR/USD,SHORT,top_25pct,1.4292500000000001,,19,47.37,-0.1406,-0.67,0.718,0.7573,-0.9487,4.61,-0.345,-1.204,0.9071
Engine A,EUR/USD,SHORT,top_10pct,1.5585,,8,37.5,-0.2784,-0.834,0.526,0.8253,-0.9406,2.861,-0.6211,-1.204,0.9071
Engine A,EUR/USD,LONG,bottom_25pct,,1.30135,17,41.18,-0.2334,-1.001,0.59,0.8141,-0.9666,5.552,-0.2649,-1.2742,0.8506
Engine A,EUR/USD,LONG,25_50pct,1.30135,1.6235,16,12.5,-0.7262,-4.065,0.121,0.8025,-0.9445,11.619,-1.0531,-1.5674,0.8799
Engine A,EUR/USD,LONG,50_75pct,1.6235,2.0212000000000003,17,47.06,-0.2057,-0.934,0.594,0.6402,-0.9577,5.284,-0.2184,-1.361,0.8702
Engine A,EUR/USD,LONG,top_25pct,2.0212000000000003,,17,52.94,0.1168,0.613,1.423,0.742,-0.5864,3.754,0.1222,-1.2061,0.9515
Engine A,EUR/USD,LONG,top_10pct,2.1776999999999997,,7,42.86,-0.2242,-0.631,0.565,0.6782,-0.901,3.604,-0.033,-1.2061,0.7793
Engine A,GBP/USD,SHORT,bottom_25pct,,0.8434,17,35.29,-0.3851,-1.925,0.348,0.5833,-0.9133,7.799,-0.6046,-1.2539,0.8411
Engine A,GBP/USD,SHORT,25_50pct,0.8434,1.2454,16,50.0,-0.0761,-0.333,0.828,0.7313,-0.8835,3.814,0.0418,-1.2698,0.8902
Engine A,GBP/USD,SHORT,50_75pct,1.2454,1.4663,17,70.59,0.2038,1.026,1.737,0.6805,-0.9404,1.435,0.6196,-1.2529,0.9165
