engine,pair,direction,timestamp,score,resultR,exit_reason,SL,TP,MFE_R,MAE_R,session,regime,setup_type,failure_reason,top25_cutoff,current_threshold
Engine A,BTC/USDT,LONG,2026-01-06T03:00:00+00:00,1.546,-1.0277,SL,92275.6,95156.0,,,,trending,,,1.5377,2.0
Engine A,BTC/USDT,LONG,2026-01-15T09:00:00+00:00,1.5377,-0.715,TIMEOUT,94939.4,99060.4,,,,trending,,,1.5377,2.0
Engine A,BTC/USDT,LONG,2026-04-14T13:00:00+00:00,2.0295,-0.4313,TIMEOUT,72000.5,78963.5,,,,neutral,,,1.5377,2.0
Engine A,BTC/USDT,LONG,2026-04-15T22:00:00+00:00,1.663,-1.0218,SL,73455.5,76404.1,,,,trending,,,1.5377,2.0
Engine A,BTC/USDT,LONG,2026-04-18T00:00:00+00:00,1.5736,-0.5798,TIMEOUT,74491.6,79763.6,,,,trending,,,1.5377,2.0
Engine A,BTC/USDT,LONG,2026-05-10T22:00:00+00:00,2.074,-0.1454,TIMEOUT,80206.3,83823.5,,,,trending,,,1.5377,2.0
Engine A,ETH/USDT,LONG,2026-01-15T13:00:00+00:00,1.7011,-1.0144,SL,3273.85,3465.37,,,,trending,,,1.469025,2.0
Engine A,ETH/USDT,LONG,2026-04-14T15:00:00+00:00,2.058,-0.2853,TIMEOUT,2246.2,2479.8,,,,neutral,,,1.469025,2.0
Engine A,ETH/USDT,LONG,2026-04-15T22:00:00+00:00,1.5672,-1.018,SL,2306.17,2418.99,,,,trending,,,1.469025,2.0
Engine A,ETH/USDT,LONG,2026-04-22T17:00:00+00:00,1.475,-1.011,SL,2300.36,2495.16,,,,neutral,,,1.469025,2.0
Engine A,XAG/USD,LONG,2026-01-26T08:00:00+00:00,2.1104,-0.5992,TIMEOUT,90.334,127.724,,,,trending,,,2.1090999999999998,1.5
Engine A,XAG/USD,LONG,2026-05-13T20:00:00+00:00,2.4014,-1.0048,SL,79.054,95.874,,,,trending,,,2.1090999999999998,1.5
Engine A,EUR/USD,SHORT,2025-10-10T12:00:00+00:00,1.5838,-1.1655,SL,1.1603,1.15458,,,,trending,,,1.4292500000000001,2.1
Engine A,EUR/USD,SHORT,2025-11-05T04:00:00+00:00,1.7205,-0.4888,TIMEOUT,1.15335,1.14439,,,,trending,,,1.4292500000000001,2.1
Engine A,EUR/USD,SHORT,2025-11-20T22:00:00+00:00,1.5968,-1.204,SL,1.15499,1.15021,,,,trending,,,1.4292500000000001,2.1
Engine A,EUR/USD,SHORT,2025-11-21T15:00:00+00:00,1.6291,-0.7535,TIMEOUT,1.15525,1.14887,,,,trending,,,1.4292500000000001,2.1
Engine A,EUR/USD,SHORT,2026-01-09T23:00:00+00:00,1.4564,-1.1496,SL,1.16606,1.16002,,,,trending,,,1.4292500000000001,2.1
Engine A,EUR/USD,SHORT,2026-03-03T21:00:00+00:00,1.448,-0.345,TIMEOUT,1.17069,1.15181,,,,trending,,,1.4292500000000001,2.1
Engine A,EUR/USD,SHORT,2026-03-09T09:00:00+00:00,1.4785,-1.0636,SL,1.16216,1.14676,,,,ranging,,,1.4292500000000001,2.1
Engine A,EUR/USD,SHORT,2026-03-16T04:00:00+00:00,1.7841,-1.0914,SL,1.15036,1.13954,,,,trending,,,1.4292500000000001,2.1
Engine A,EUR/USD,SHORT,2026-03-19T06:00:00+00:00,1.5214,-1.0606,SL,1.15555,1.13943,,,,ranging,,,1.4292500000000001,2.1
Engine A,EUR/USD,SHORT,2026-05-20T12:00:00+00:00,1.4892,-1.1654,SL,1.16168,1.15598,,,,neutral,,,1.4292500000000001,2.1
Engine A,EUR/USD,LONG,2025-12-11T21:00:00+00:00,2.1765,-0.1044,TIMEOUT,1.16823,1.18003,,,,trending,,,2.0212000000000003,2.1
Engine A,EUR/USD,LONG,2025-12-23T14:00:00+00:00,2.0926,-0.2594,TIMEOUT,1.17491,1.18301,,,,neutral,,,2.0212000000000003,2.1
Engine A,EUR/USD,LONG,2026-01-27T23:00:00+00:00,2.0245,-0.4747,TIMEOUT,1.18503,1.22297,,,,trending,,,2.0212000000000003,2.1
Engine A,EUR/USD,LONG,2026-02-10T01:00:00+00:00,2.0257,-0.2489,TIMEOUT,1.18188,1.19888,,,,trending,,,2.0212000000000003,2.1
Engine A,EUR/USD,LONG,2026-02-11T05:00:00+00:00,2.2191,-1.1948,SL,1.18861,1.19373,,,,trending,,,2.0212000000000003,2.1
Engine A,EUR/USD,LONG,2026-05-07T14:00:00+00:00,2.2644,-1.1701,SL,1.17417,1.17985,,,,neutral,,,2.0212000000000003,2.1
Engine A,EUR/USD,LONG,2026-05-08T13:00:00+00:00,2.1795,-0.033,TIMEOUT,1.17202,1.18078,,,,trending,,,2.0212000000000003,2.1
Engine A,EUR/USD,LONG,2026-05-11T14:00:00+00:00,2.1971,-1.2061,SL,1.17435,1.17935,,,,ranging,,,2.0212000000000003,2.1
Engine A,GBP/USD,SHORT,2025-10-24T04:00:00+00:00,1.5656,-1.1588,SL,1.3357,1.3286,,,,trending,,,1.4663,2.1
Engine A,GBP/USD,SHORT,2025-10-24T17:00:00+00:00,1.6539,-0.5596,TIMEOUT,1.33682,1.3233,,,,neutral,,,1.4663,2.1
Engine A,GBP/USD,SHORT,2025-11-04T17:00:00+00:00,1.6796,-0.0067,TIMEOUT,1.3142,1.29508,,,,trending,,,1.4663,2.1
Engine A,GBP/USD,SHORT,2025-11-20T10:00:00+00:00,1.8639,-0.613,TIMEOUT,1.31289,1.30001,,,,neutral,,,1.4663,2.1
Engine A,GBP/USD,SHORT,2025-11-24T02:00:00+00:00,1.5398,-1.2487,SL,1.31101,1.30671,,,,ranging,,,1.4663,2.1
Engine A,GBP/USD,SHORT,2025-11-24T09:00:00+00:00,1.5406,-1.2521,SL,1.31117,1.30689,,,,ranging,,,1.4663,2.1
Engine A,GBP/USD,SHORT,2026-03-16T04:00:00+00:00,1.7129,-1.0769,SL,1.33342,1.31848,,,,trending,,,1.4663,2.1
Engine A,GBP/USD,SHORT,2026-03-31T03:00:00+00:00,2.0954,-0.6342,TIMEOUT,1.32828,1.31176,,,,trending,,,1.4663,2.1
Engine A,GBP/USD,LONG,2025-12-05T10:00:00+00:00,2.0321,-1.1751,SL,1.33182,1.33814,,,,trending,,,2.0028,2.1
Engine A,GBP/USD,LONG,2025-12-11T21:00:00+00:00,2.0086,-1.1649,SL,1.33548,1.34264,,,,neutral,,,2.0028,2.1
Engine A,GBP/USD,LONG,2025-12-24T00:00:00+00:00,2.2253,-0.2011,TIMEOUT,1.3471,1.3551,,,,trending,,,2.0028,2.1
Engine A,GBP/USD,LONG,2025-12-29T16:00:00+00:00,2.0145,-0.9569,TIMEOUT,1.34692,1.35318,,,,ranging,,,2.0028,2.1
Engine A,GBP/USD,LONG,2026-01-07T05:00:00+00:00,2.1725,-1.2243,SL,1.34894,1.3539,,,,ranging,,,2.0028,2.1
Engine A,GBP/USD,LONG,2026-02-10T15:00:00+00:00,2.0032,-1.2341,SL,1.36577,1.37051,,,,trending,,,2.0028,2.1
Engine A,GBP/USD,LONG,2026-04-15T11:00:00+00:00,2.1124,-1.6236,SL,1.35553,1.35727,,,,trending,,,2.0028,2.1
Engine A,GBP/USD,LONG,2026-04-27T20:00:00+00:00,2.103,-1.1678,SL,1.35043,1.35729,,,,ranging,,,2.0028,2.1
Engine A,GBP/USD,LONG,2026-05-01T08:00:00+00:00,2.1467,-0.0409,TIMEOUT,1.34926,1.36852,,,,neutral,,,2.0028,2.1
Engine A,GBP/USD,LONG,2026-05-07T12:00:00+00:00,2.0773,-1.1384,SL,1.35783,1.36599,,,,neutral,,,2.0028,2.1
Engine A,GBP/USD,LONG,2026-05-08T16:00:00+00:00,2.0304,-0.1189,TIMEOUT,1.35444,1.3707,,,,neutral,,,2.0028,2.1
Engine A,GBP/USD,LONG,2026-05-11T22:00:00+00:00,2.0941,-1.1447,SL,1.35788,1.36576,,,,ranging,,,2.0028,2.1
