engine,pair,direction,threshold,retained_pct,n,win_pct,expR,SQN,profit_factor,avg_win_R,avg_loss_R,max_drawdown_R,median_resultR,worst_resultR,best_resultR
Engine A,BTC/USDT,LONG,1.0,75.47,40,60.0,0.1618,1.301,1.58,0.7342,-0.6969,2.512,0.314,-1.0789,0.9843
Engine A,BTC/USDT,LONG,1.25,50.94,27,55.56,0.0758,0.483,1.23,0.7296,-0.7415,2.289,0.2983,-1.0349,0.9843
Engine A,BTC/USDT,LONG,1.5,32.08,17,58.82,0.1704,0.895,1.632,0.7477,-0.6545,1.602,0.2983,-1.0277,0.9843
Engine A,BTC/USDT,LONG,1.75,9.43,5,60.0,0.3366,1.171,3.918,0.7532,-0.2883,0.431,0.2983,-0.4313,0.9843
Engine A,BTC/USDT,LONG,2.0,5.66,3,33.33,-0.0928,-0.437,0.517,0.2983,-0.2883,0.431,-0.1454,-0.4313,0.2983
Engine A,ETH/USDT,LONG,1.0,60.0,30,63.33,0.162,1.035,1.512,0.7559,-0.8637,2.828,0.428,-1.0326,0.9862
Engine A,ETH/USDT,LONG,1.25,42.0,21,66.67,0.2144,1.148,1.739,0.7565,-0.87,2.664,0.5752,-1.018,0.9857
Engine A,ETH/USDT,LONG,1.5,22.0,11,72.73,0.3017,1.265,2.432,0.7046,-0.7726,1.018,0.5752,-1.018,0.9857
Engine A,ETH/USDT,LONG,1.75,4.0,2,50.0,-0.0569,-0.249,0.601,0.1715,-0.2853,0.285,-0.0569,-0.2853,0.1715
Engine A,ETH/USDT,LONG,2.0,4.0,2,50.0,-0.0569,-0.249,0.601,0.1715,-0.2853,0.285,-0.0569,-0.2853,0.1715
Engine A,XAG/USD,LONG,1.25,93.55,29,68.97,0.332,2.242,2.436,0.8165,-0.7447,1.728,0.7739,-1.0109,1.0298
Engine A,XAG/USD,LONG,1.5,77.42,24,70.83,0.3365,2.086,2.505,0.7906,-0.7663,2.621,0.7412,-1.0101,1.0298
Engine A,XAG/USD,LONG,1.75,67.74,21,66.67,0.2469,1.403,1.967,0.7535,-0.7663,2.621,0.6541,-1.0101,1.0298
Engine A,XAG/USD,LONG,2.0,61.29,19,63.16,0.1662,0.898,1.589,0.7101,-0.7663,2.621,0.2956,-1.0101,1.0059
Engine A,XAG/USD,LONG,2.25,3.23,1,0.0,-1.0048,,0.0,,-1.0048,1.005,-1.0048,-1.0048,-1.0048
Engine A,EUR/USD,SHORT,1.0,61.84,47,59.57,0.0812,0.641,1.221,0.7531,-0.9089,4.667,0.6844,-1.2447,0.9094
