pair,direction,date,resultR,engine_b_score,engine_b_max,engine_b_score_ratio,engine_b_min_score_used,engine_b_candidate_passed,engine_b_manual_quality_passed_score_6_5,engine_b_manual_quality_passed_ratio_0_75,engine_b_autotrade_quality_passed_ratio_0_80,signalTier,autotradeIngressEligible,b_only_watchlist_reason,executionConvictionBase,executionConvictionEffective,autoMinConviction,alignedDiscountApplied,metaThresholdDelta,failedStage,blockReason
XAU/USD,SHORT,2025-02-03,-1.04,4.0,8.0,0.5,3.6,True,False,False,False,,False,,0.5,0.5,0.5,False,0.0,,
XAU/USD,SHORT,2025-02-26,1.73,6.0,8.0,0.75,3.6,True,False,True,False,,False,,0.75,0.75,0.5,False,0.0,,
XAU/USD,SHORT,2025-03-03,-1.03,6.0,8.0,0.75,3.6,True,False,True,False,,False,,0.75,0.75,0.5,False,0.0,,
XAU/USD,SHORT,2025-03-24,-1.02,6.0,8.0,0.75,3.6,True,False,True,False,,False,,0.75,0.75,0.5,False,0.0,,
XAU/USD,SHORT,2025-04-04,1.82,5.0,8.0,0.625,3.6,True,False,False,False,,False,,0.625,0.625,0.5,False,0.0,,
XAU/USD,SHORT,2025-04-07,-1.02,5.0,8.0,0.625,3.6,True,False,False,False,,False,,0.625,0.625,0.5,False,0.0,,
XAU/USD,SHORT,2025-04-10,-1.03,4.75,8.0,0.59375,3.6,True,False,False,False,,False,,0.59375,0.59375,0.5,False,0.0,,
XAU/USD,SHORT,2025-05-01,-1.02,4.75,8.0,0.59375,3.6,True,False,False,False,,False,,0.59375,0.59375,0.5,False,0.0,,
XAU/USD,SHORT,2025-05-15,-1.02,4.75,8.0,0.59375,3.6,True,False,False,False,,False,,0.59375,0.59375,0.5,False,0.0,,
XAU/USD,SHORT,2025-05-16,-1.02,4.75,8.0,0.59375,3.6,True,False,False,False,,False,,0.59375,0.59375,0.5,False,0.0,,
XAU/USD,SHORT,2025-06-25,1.72,5.0,8.0,0.625,3.6,True,False,False,False,,False,,0.625,0.625,0.5,False,0.0,,
XAU/USD,SHORT,2025-06-30,-1.03,5.0,8.0,0.625,3.6,True,False,False,False,,False,,0.625,0.625,0.5,False,0.0,,
XAU/USD,SHORT,2025-07-01,0.02,5.0,8.0,0.625,3.6,True,False,False,False,,False,,0.625,0.625,0.5,False,0.0,,
XAU/USD,SHORT,2025-07-16,-1.04,5.0,8.0,0.625,3.6,True,False,False,False,,False,,0.625,0.625,0.5,False,0.0,,
