pair,direction,quality_layer,n,retained_pct,win_pct,expR,SQN,profit_factor,avg_win_R,avg_loss_R,max_drawdown_R,median_score,median_score_ratio,min_score,max_score,min_maxScore,max_maxScore
BTC/USDT,LONG,candidate_floor,72,100.0,37.5,-0.139,-0.988,0.78,1.3159,-1.012,16.96,5.75,0.638889,4.0,8.0,9.0,9.0
BTC/USDT,LONG,manual_absolute_6_5,12,16.67,50.0,0.1875,0.574,1.48,1.1567,-0.7817,2.61,7.0,0.777778,6.75,8.0,9.0,9.0
BTC/USDT,LONG,manual_normalized_0_75,12,16.67,50.0,0.1875,0.574,1.48,1.1567,-0.7817,2.61,7.0,0.777778,6.75,8.0,9.0,9.0
BTC/USDT,LONG,strict_autotrade_quality_0_80,5,6.94,40.0,-0.138,-0.28,0.724,0.905,-0.8333,2.11,7.8,0.866667,7.2,8.0,9.0,9.0
BTC/USDT,LONG,normal_scheduler_autotrade_reachable,0,0.0,,,,,,,0.0,,,,,,
BTC/USDT,SHORT,candidate_floor,58,100.0,32.76,-0.1838,-1.115,0.737,1.5695,-1.0379,15.66,6.0,0.666667,3.75,8.0,9.0,9.0
BTC/USDT,SHORT,manual_absolute_6_5,16,27.59,37.5,-0.0869,-0.271,0.861,1.4367,-1.001,4.18,7.0,0.777778,6.55,8.0,9.0,9.0
BTC/USDT,SHORT,manual_normalized_0_75,15,25.86,40.0,-0.022,-0.065,0.963,1.4367,-0.9944,4.18,7.0,0.777778,6.75,8.0,9.0,9.0
BTC/USDT,SHORT,strict_autotrade_quality_0_80,1,1.72,0.0,-1.03,,0.0,,-1.03,1.03,8.0,0.888889,8.0,8.0,9.0,9.0
BTC/USDT,SHORT,normal_scheduler_autotrade_reachable,0,0.0,,,,,,,0.0,,,,,,
ETH/USDT,SHORT,candidate_floor,63,100.0,39.68,0.0325,0.199,1.055,1.578,-0.9842,7.44,5.75,0.638889,4.75,7.75,9.0,9.0
ETH/USDT,SHORT,manual_absolute_6_5,6,9.52,33.33,-0.175,-0.318,0.748,1.555,-1.04,2.1,6.9,0.766667,6.75,7.75,9.0,9.0
ETH/USDT,SHORT,manual_normalized_0_75,6,9.52,33.33,-0.175,-0.318,0.748,1.555,-1.04,2.1,6.9,0.766667,6.75,7.75,9.0,9.0
ETH/USDT,SHORT,strict_autotrade_quality_0_80,1,1.59,0.0,-1.04,,0.0,,-1.04,1.04,7.75,0.861111,7.75,7.75,9.0,9.0
ETH/USDT,SHORT,normal_scheduler_autotrade_reachable,0,0.0,,,,,,,0.0,,,,,,
EUR/USD,LONG,candidate_floor,70,100.0,37.14,-0.0434,-0.28,0.93,1.5454,-0.9823,12.63,5.0,0.625,4.0,6.0,8.0,8.0
EUR/USD,LONG,manual_absolute_6_5,0,0.0,,,,,,,0.0,,,,,,
EUR/USD,LONG,manual_normalized_0_75,23,32.86,43.48,0.1135,0.423,1.223,1.431,-0.9,3.47,6.0,0.75,6.0,6.0,8.0,8.0
EUR/USD,LONG,strict_autotrade_quality_0_80,0,0.0,,,,,,,0.0,,,,,,
EUR/USD,LONG,normal_scheduler_autotrade_reachable,0,0.0,,,,,,,0.0,,,,,,
EUR/USD,SHORT,candidate_floor,64,100.0,31.25,-0.237,-1.482,0.678,1.5955,-1.07,15.58,5.0,0.625,3.75,7.0,8.0,8.0
EUR/USD,SHORT,manual_absolute_6_5,2,3.12,0.0,-1.09,-10.0,0.0,,-1.09,2.18,7.0,0.875,7.0,7.0,8.0,8.0
EUR/USD,SHORT,manual_normalized_0_75,11,17.19,27.27,-0.4318,-1.187,0.458,1.3367,-1.095,5.04,6.0,0.75,6.0,7.0,8.0,8.0
EUR/USD,SHORT,strict_autotrade_quality_0_80,2,3.12,0.0,-1.09,-10.0,0.0,,-1.09,2.18,7.0,0.875,7.0,7.0,8.0,8.0
EUR/USD,SHORT,normal_scheduler_autotrade_reachable,0,0.0,,,,,,,0.0,,,,,,
GBP/USD,SHORT,candidate_floor,73,100.0,26.03,-0.3527,-2.388,0.561,1.7316,-1.0861,27.85,5.0,0.625,3.75,7.0,8.0,8.0
GBP/USD,SHORT,manual_absolute_6_5,6,8.22,33.33,-0.1067,-0.171,0.853,1.86,-1.09,2.45,6.75,0.84375,6.75,7.0,8.0,8.0
GBP/USD,SHORT,manual_normalized_0_75,17,23.29,35.29,-0.0618,-0.178,0.912,1.815,-1.0855,5.37,6.0,0.75,6.0,7.0,8.0,8.0
