engine,pair,direction,n,excluded_missing_score_or_result,fields
Engine B,XAU/USD,SHORT,37,0,actual_rr;bos_confirmed;bos_mtf_confirmed;bos_volume_confirmed;breaker_active;bt_exit_policy;checklist_loc;checklist_room;checklist_rr;checklist_struct;checklist_trigger;choch_confirmed;date;direction;engine;entry;entry_reason;exit_reason;failure_reason;fvg_bonus;fvg_overlap;liquidity_sweep;max_possible;min_score_used;ob_at_zone;ob_strength;oos;original_size;outcome;pair;r_multiple;regime;resultR;rr_target;score;selected_sl;selected_sl_source;selected_tp;selected_tp_source;setup_type;sl;source_function;source_module;strategy_family;telemetry_version;timeframe;tp1;tp2;trigger_pattern;validation_mode;volAdj;vol_target_adjusted_size;vol_target_multiplier;vol_target_volatility;vol_target_volatility_source;vol_targeting_applied;volume_strength;wf_fold;zone_touched
Engine B,XAU/USD,LONG,79,0,actual_rr;bos_confirmed;bos_mtf_confirmed;bos_volume_confirmed;breaker_active;bt_exit_policy;checklist_loc;checklist_room;checklist_rr;checklist_struct;checklist_trigger;choch_confirmed;date;direction;engine;entry;entry_reason;exit_reason;failure_reason;fvg_bonus;fvg_overlap;liquidity_sweep;max_possible;min_score_used;ob_at_zone;ob_strength;oos;original_size;outcome;pair;r_multiple;regime;resultR;rr_target;score;selected_sl;selected_sl_source;selected_tp;selected_tp_source;setup_type;sl;source_function;source_module;strategy_family;telemetry_version;timeframe;tp1;tp2;trigger_pattern;validation_mode;volAdj;vol_target_adjusted_size;vol_target_multiplier;vol_target_volatility;vol_target_volatility_source;vol_targeting_applied;volume_strength;wf_fold;zone_touched
Engine B,XAG/USD,SHORT,44,0,actual_rr;bos_confirmed;bos_mtf_confirmed;bos_volume_confirmed;breaker_active;bt_exit_policy;checklist_loc;checklist_room;checklist_rr;checklist_struct;checklist_trigger;choch_confirmed;date;direction;engine;entry;entry_reason;exit_reason;failure_reason;fvg_bonus;fvg_overlap;liquidity_sweep;max_possible;min_score_used;ob_at_zone;ob_strength;oos;original_size;outcome;pair;r_multiple;regime;resultR;rr_target;score;selected_sl;selected_sl_source;selected_tp;selected_tp_source;setup_type;sl;source_function;source_module;strategy_family;telemetry_version;timeframe;tp1;tp2;trigger_pattern;validation_mode;volAdj;vol_target_adjusted_size;vol_target_multiplier;vol_target_volatility;vol_target_volatility_source;vol_targeting_applied;volume_strength;wf_fold;zone_touched
Engine B,XAG/USD,LONG,54,0,actual_rr;bos_confirmed;bos_mtf_confirmed;bos_volume_confirmed;breaker_active;bt_exit_policy;checklist_loc;checklist_room;checklist_rr;checklist_struct;checklist_trigger;choch_confirmed;date;direction;engine;entry;entry_reason;exit_reason;failure_reason;fvg_bonus;fvg_overlap;liquidity_sweep;max_possible;min_score_used;ob_at_zone;ob_strength;oos;original_size;outcome;pair;r_multiple;regime;resultR;rr_target;score;selected_sl;selected_sl_source;selected_tp;selected_tp_source;setup_type;sl;source_function;source_module;strategy_family;telemetry_version;timeframe;tp1;tp2;trigger_pattern;validation_mode;volAdj;vol_target_adjusted_size;vol_target_multiplier;vol_target_volatility;vol_target_volatility_source;vol_targeting_applied;volume_strength;wf_fold;zone_touched
Engine B,ETH/USDT,SHORT,63,0,actual_rr;bos_confirmed;bos_mtf_confirmed;bos_volume_confirmed;breaker_active;bt_exit_policy;checklist_loc;checklist_room;checklist_rr;checklist_struct;checklist_trigger;choch_confirmed;date;direction;engine;entry;entry_reason;exit_reason;failure_reason;fvg_bonus;fvg_overlap;liquidity_sweep;max_possible;min_score_used;ob_at_zone;ob_strength;oos;original_size;outcome;pair;r_multiple;regime;resultR;rr_target;score;selected_sl;selected_sl_source;selected_tp;selected_tp_source;setup_type;sl;source_function;source_module;strategy_family;telemetry_version;timeframe;tp1;tp2;trigger_pattern;validation_mode;volAdj;vol_target_adjusted_size;vol_target_multiplier;vol_target_volatility;vol_target_volatility_source;vol_targeting_applied;volume_strength;wf_fold;zone_touched
Engine B,BTC/USDT,SHORT,58,0,actual_rr;bos_confirmed;bos_mtf_confirmed;bos_volume_confirmed;breaker_active;bt_exit_policy;checklist_loc;checklist_room;checklist_rr;checklist_struct;checklist_trigger;choch_confirmed;date;direction;engine;entry;entry_reason;exit_reason;failure_reason;fvg_bonus;fvg_overlap;liquidity_sweep;max_possible;min_score_used;ob_at_zone;ob_strength;oos;original_size;outcome;pair;r_multiple;regime;resultR;rr_target;score;selected_sl;selected_sl_source;selected_tp;selected_tp_source;setup_type;sl;source_function;source_module;strategy_family;telemetry_version;timeframe;tp1;tp2;trigger_pattern;validation_mode;volAdj;vol_target_adjusted_size;vol_target_multiplier;vol_target_volatility;vol_target_volatility_source;vol_targeting_applied;volume_strength;wf_fold;zone_touched
Engine B,BTC/USDT,LONG,72,0,actual_rr;bos_confirmed;bos_mtf_confirmed;bos_volume_confirmed;breaker_active;bt_exit_policy;checklist_loc;checklist_room;checklist_rr;checklist_struct;checklist_trigger;choch_confirmed;date;direction;engine;entry;entry_reason;exit_reason;failure_reason;fvg_bonus;fvg_overlap;liquidity_sweep;max_possible;min_score_used;ob_at_zone;ob_strength;oos;original_size;outcome;pair;r_multiple;regime;resultR;rr_target;score;selected_sl;selected_sl_source;selected_tp;selected_tp_source;setup_type;sl;source_function;source_module;strategy_family;telemetry_version;timeframe;tp1;tp2;trigger_pattern;validation_mode;volAdj;vol_target_adjusted_size;vol_target_multiplier;vol_target_volatility;vol_target_volatility_source;vol_targeting_applied;volume_strength;wf_fold;zone_touched
Engine B,GBP/USD,SHORT,73,0,actual_rr;bos_confirmed;bos_mtf_confirmed;bos_volume_confirmed;breaker_active;bt_exit_policy;checklist_loc;checklist_room;checklist_rr;checklist_struct;checklist_trigger;choch_confirmed;date;direction;engine;entry;entry_reason;exit_reason;failure_reason;fvg_bonus;fvg_overlap;liquidity_sweep;max_possible;min_score_used;ob_at_zone;ob_strength;oos;original_size;outcome;pair;r_multiple;regime;resultR;rr_target;score;selected_sl;selected_sl_source;selected_tp;selected_tp_source;setup_type;sl;source_function;source_module;strategy_family;telemetry_version;timeframe;tp1;tp2;trigger_pattern;validation_mode;volAdj;vol_target_adjusted_size;vol_target_multiplier;vol_target_volatility;vol_target_volatility_source;vol_targeting_applied;volume_strength;wf_fold;zone_touched
Engine B,EUR/USD,SHORT,64,0,actual_rr;bos_confirmed;bos_mtf_confirmed;bos_volume_confirmed;breaker_active;bt_exit_policy;checklist_loc;checklist_room;checklist_rr;checklist_struct;checklist_trigger;choch_confirmed;date;direction;engine;entry;entry_reason;exit_reason;failure_reason;fvg_bonus;fvg_overlap;liquidity_sweep;max_possible;min_score_used;ob_at_zone;ob_strength;oos;original_size;outcome;pair;r_multiple;regime;resultR;rr_target;score;selected_sl;selected_sl_source;selected_tp;selected_tp_source;setup_type;sl;source_function;source_module;strategy_family;telemetry_version;timeframe;tp1;tp2;trigger_pattern;validation_mode;volAdj;vol_target_adjusted_size;vol_target_multiplier;vol_target_volatility;vol_target_volatility_source;vol_targeting_applied;volume_strength;wf_fold;zone_touched
Engine B,EUR/USD,LONG,70,0,actual_rr;bos_confirmed;bos_mtf_confirmed;bos_volume_confirmed;breaker_active;bt_exit_policy;checklist_loc;checklist_room;checklist_rr;checklist_struct;checklist_trigger;choch_confirmed;date;direction;engine;entry;entry_reason;exit_reason;failure_reason;fvg_bonus;fvg_overlap;liquidity_sweep;max_possible;min_score_used;ob_at_zone;ob_strength;oos;original_size;outcome;pair;r_multiple;regime;resultR;rr_target;score;selected_sl;selected_sl_source;selected_tp;selected_tp_source;setup_type;sl;source_function;source_module;strategy_family;telemetry_version;timeframe;tp1;tp2;trigger_pattern;validation_mode;volAdj;vol_target_adjusted_size;vol_target_multiplier;vol_target_volatility;vol_target_volatility_source;vol_targeting_applied;volume_strength;wf_fold;zone_touched
