engine,pair,direction,timestamp,score,resultR,exit_reason,SL,TP,MFE_R,MAE_R,session,regime,setup_type,failure_reason,top25_cutoff,current_threshold
Engine B,XAU/USD,SHORT,2025-03-03,6.0,-1.03,SL,2901.408522,2794.732955,,,,trending,naked,SL,5.75,
Engine B,XAU/USD,SHORT,2025-03-24,6.0,-1.02,SL,3071.975394,2937.677322,,,,ranging,naked,SL,5.75,
Engine B,XAU/USD,SHORT,2025-08-04,5.75,-1.06,SL,3377.419567,3322.550866,,,,ranging,naked,SL,5.75,
Engine B,XAU/USD,SHORT,2026-03-19,6.0,-1.01,SL,4734.507126,4286.045748,,,,trending,naked,SL,5.75,
Engine B,XAU/USD,SHORT,2026-03-27,6.0,-1.01,SL,4552.939789,4032.350155,,,,ranging,naked,SL,5.75,
Engine B,XAU/USD,SHORT,2026-05-28,6.0,-1.02,SL,4524.5407,4323.508599,,,,trending,naked,SL,5.75,
Engine B,XAU/USD,LONG,2025-03-05,6.0,-1.03,SL,2884.71632,2992.277361,,,,ranging,naked,SL,6.0,
Engine B,XAU/USD,LONG,2025-03-21,6.0,-1.03,SL,3012.302622,3112.494757,,,,ranging,naked,SL,6.0,
Engine B,XAU/USD,LONG,2025-04-21,7.0,-0.68,TIMEOUT,3255.424975,3595.730051,,,,ranging,naked,TIMEOUT,6.0,
Engine B,XAU/USD,LONG,2025-05-06,6.0,-1.02,SL,3304.954325,3457.909636,,,,ranging,naked,SL,6.0,
Engine B,XAU/USD,LONG,2025-06-03,6.0,-1.03,SL,3343.177429,3466.118886,,,,ranging,naked,SL,6.0,
Engine B,XAU/USD,LONG,2025-06-04,6.0,-1.03,SL,3318.246494,3443.507012,,,,ranging,naked,SL,6.0,
Engine B,XAU/USD,LONG,2025-07-24,6.0,-1.04,SL,3353.030766,3445.008468,,,,ranging,naked,SL,6.0,
Engine B,XAU/USD,LONG,2025-08-05,6.0,-0.18,TIMEOUT,3344.807264,3442.795471,,,,trending,naked,TIMEOUT,6.0,
Engine B,XAU/USD,LONG,2025-09-24,6.0,-1.03,SL,3721.778507,3863.412986,,,,trending,naked,SL,6.0,
Engine B,XAU/USD,LONG,2025-10-09,7.0,-1.02,SL,3961.365974,4210.078052,,,,trending,naked,SL,6.0,
Engine B,XAU/USD,LONG,2025-10-21,6.0,-1.03,SL,4076.950774,4274.808258,,,,ranging,naked,SL,6.0,
Engine B,XAU/USD,LONG,2025-11-13,6.0,-1.01,SL,4045.802877,4336.654064,,,,trending,naked,SL,6.0,
Engine B,XAU/USD,LONG,2026-01-29,6.0,-1.01,SL,5376.936469,5825.199826,,,,trending,naked,SL,6.0,
Engine B,XAU/USD,LONG,2026-01-30,6.0,-1.01,SL,4973.151758,5416.08755,,,,ranging,naked,SL,6.0,
Engine B,XAU/USD,LONG,2026-03-02,6.0,-1.02,SL,5245.327908,5524.652234,,,,ranging,naked,SL,6.0,
Engine B,XAG/USD,SHORT,2025-01-29,5.0,-1.02,SL,30.923234,29.362533,,,,trending,naked,SL,5.0,
Engine B,XAG/USD,SHORT,2025-02-14,5.0,-0.35,TIMEOUT,33.474682,31.213636,,,,ranging,naked,TIMEOUT,5.0,
Engine B,XAG/USD,SHORT,2025-03-21,5.0,-1.02,SL,33.841916,32.273448,,,,trending,naked,SL,5.0,
Engine B,XAG/USD,SHORT,2025-05-28,5.0,-1.03,SL,33.722687,32.313626,,,,ranging,naked,SL,5.0,
Engine B,XAG/USD,SHORT,2025-07-17,5.75,-1.02,SL,38.432266,36.664469,,,,ranging,naked,SL,5.0,
Engine B,XAG/USD,SHORT,2025-07-31,5.0,-1.02,SL,37.549502,35.780997,,,,trending,naked,SL,5.0,
Engine B,XAG/USD,SHORT,2025-08-20,6.0,-1.03,SL,37.639838,36.209323,,,,trending,naked,SL,5.0,
Engine B,XAG/USD,SHORT,2025-11-21,6.0,-1.01,SL,52.090613,46.670774,,,,ranging,naked,SL,5.0,
Engine B,XAG/USD,SHORT,2026-02-19,5.0,-1.01,SL,81.361228,73.944544,,,,ranging,naked,SL,5.0,
Engine B,XAG/USD,SHORT,2026-04-13,5.0,-1.01,SL,77.245313,68.625374,,,,ranging,naked,SL,5.0,
Engine B,XAG/USD,SHORT,2026-04-29,5.0,-1.01,SL,73.84754,68.163712,,,,trending,naked,SL,5.0,
Engine B,XAG/USD,SHORT,2026-05-01,5.0,-1.01,SL,76.392951,69.586097,,,,ranging,naked,SL,5.0,
Engine B,XAG/USD,SHORT,2026-05-05,5.0,-1.01,SL,75.327445,67.421111,,,,ranging,naked,SL,5.0,
Engine B,XAG/USD,LONG,2025-03-27,6.0,-0.03,BE,33.157448,34.611103,,,,ranging,naked,BE,6.0,
Engine B,XAG/USD,LONG,2025-06-19,7.0,-1.02,SL,36.084473,37.895053,,,,ranging,naked,SL,6.0,
Engine B,XAG/USD,LONG,2025-07-15,6.0,-1.02,SL,37.51575,39.610499,,,,trending,naked,SL,6.0,
Engine B,XAG/USD,LONG,2025-09-17,6.0,-1.02,SL,41.945437,43.945127,,,,ranging,naked,SL,6.0,
