engine,pair,direction,minimum_viable_threshold,classification,n
Engine B,XAU/USD,SHORT,NO_SAFE_SCORE_THRESHOLD_FOUND,HIGH_SCORE_STILL_DANGEROUS,37
Engine B,XAU/USD,LONG,5.0,SCORE_GATE_VALID,79
Engine B,XAG/USD,SHORT,NO_SAFE_SCORE_THRESHOLD_FOUND,HIGH_SCORE_STILL_DANGEROUS,44
Engine B,XAG/USD,LONG,NO_SAFE_SCORE_THRESHOLD_FOUND,SCORE_GATE_TOO_LOW,54
Engine B,ETH/USDT,SHORT,NO_SAFE_SCORE_THRESHOLD_FOUND,SCORE_NOT_PREDICTIVE,63
Engine B,BTC/USDT,SHORT,NO_SAFE_SCORE_THRESHOLD_FOUND,SCORE_NOT_PREDICTIVE,58
Engine B,BTC/USDT,LONG,NO_SAFE_SCORE_THRESHOLD_FOUND,SCORE_GATE_TOO_LOW,72
Engine B,GBP/USD,SHORT,NO_SAFE_SCORE_THRESHOLD_FOUND,SCORE_NOT_PREDICTIVE,73
Engine B,EUR/USD,SHORT,NO_SAFE_SCORE_THRESHOLD_FOUND,SCORE_NOT_PREDICTIVE,64
Engine B,EUR/USD,LONG,NO_SAFE_SCORE_THRESHOLD_FOUND,SCORE_GATE_TOO_LOW,70
