engine,pair,direction,threshold,retained_pct,n,win_pct,expR,SQN,profit_factor,avg_win_R,avg_loss_R,max_drawdown_R,median_resultR,worst_resultR,best_resultR
Engine B,XAU/USD,SHORT,3.75,100.0,37,37.84,-0.1876,-0.995,0.696,1.135,-0.9926,12.24,-1.02,-1.08,1.89
Engine B,XAU/USD,SHORT,4.75,91.89,34,38.24,-0.1979,-1.027,0.676,1.08,-0.989,12.23,-1.02,-1.08,1.89
Engine B,XAU/USD,SHORT,5.0,67.57,25,40.0,-0.0564,-0.23,0.903,1.315,-0.9707,8.42,-1.01,-1.06,1.89
Engine B,XAU/USD,SHORT,6.0,24.32,9,44.44,0.1189,0.257,1.21,1.54,-1.018,3.06,-1.01,-1.03,1.89
Engine B,XAU/USD,LONG,4.75,100.0,79,49.37,0.1284,0.999,1.284,1.1769,-0.894,6.79,-0.01,-1.06,1.97
Engine B,XAU/USD,LONG,5.0,82.28,65,53.85,0.2868,1.997,1.734,1.2586,-0.847,3.32,0.36,-1.06,1.97
Engine B,XAU/USD,LONG,5.75,45.57,36,50.0,0.1789,0.913,1.397,1.2583,-0.9006,4.71,0.16,-1.04,1.97
Engine B,XAU/USD,LONG,6.0,39.24,31,51.61,0.1597,0.767,1.349,1.195,-0.9447,4.71,0.33,-1.04,1.9
Engine B,XAG/USD,SHORT,3.75,100.0,44,38.64,-0.073,-0.402,0.875,1.3176,-0.9485,9.73,-1.01,-1.03,1.93
Engine B,XAG/USD,SHORT,4.75,93.18,41,39.02,-0.0749,-0.403,0.87,1.2812,-0.9428,9.73,-1.01,-1.03,1.93
Engine B,XAG/USD,SHORT,5.0,52.27,23,43.48,0.0378,0.145,1.069,1.342,-0.9654,6.07,-1.01,-1.03,1.89
Engine B,XAG/USD,LONG,4.0,100.0,54,46.3,0.1269,0.762,1.268,1.2948,-0.88,6.03,-0.055,-1.03,1.99
Engine B,XAG/USD,LONG,4.75,98.15,53,45.28,0.126,0.743,1.262,1.3417,-0.88,6.2,-0.08,-1.03,1.99
Engine B,XAG/USD,LONG,5.0,83.33,45,46.67,0.1869,0.977,1.387,1.4362,-0.9062,4.04,-0.03,-1.03,1.99
Engine B,XAG/USD,LONG,6.0,42.59,23,65.22,0.6357,2.492,3.381,1.384,-0.7675,2.03,0.71,-1.02,1.99
Engine B,ETH/USDT,SHORT,4.75,100.0,63,39.68,0.0325,0.199,1.055,1.578,-0.9842,7.44,-1.02,-1.06,1.98
Engine B,ETH/USDT,SHORT,5.0,85.71,54,38.89,0.015,0.085,1.025,1.5714,-0.9755,6.3,-1.02,-1.06,1.98
Engine B,ETH/USDT,SHORT,5.75,52.38,33,36.36,-0.0167,-0.074,0.972,1.6017,-0.9414,3.42,-1.02,-1.06,1.98
Engine B,ETH/USDT,SHORT,5.8,41.27,26,34.62,-0.0638,-0.26,0.894,1.5478,-0.9171,4.27,-1.02,-1.06,1.98
Engine B,ETH/USDT,SHORT,6.0,36.51,23,34.78,-0.0557,-0.213,0.905,1.5325,-0.9027,4.54,-1.02,-1.06,1.98
Engine B,ETH/USDT,SHORT,6.16,11.11,7,28.57,-0.2971,-0.617,0.599,1.555,-1.038,2.1,-1.03,-1.06,1.81
Engine B,BTC/USDT,SHORT,3.75,100.0,58,32.76,-0.1838,-1.115,0.737,1.5695,-1.0379,15.66,-1.04,-1.12,1.97
Engine B,BTC/USDT,SHORT,4.75,98.28,57,31.58,-0.2137,-1.295,0.699,1.5722,-1.0379,17.18,-1.04,-1.12,1.97
Engine B,BTC/USDT,SHORT,5.0,84.48,49,30.61,-0.2367,-1.342,0.669,1.5653,-1.0318,14.43,-1.04,-1.1,1.97
Engine B,BTC/USDT,SHORT,5.75,63.79,37,27.03,-0.3346,-1.722,0.552,1.526,-1.0237,14.21,-1.04,-1.1,1.97
Engine B,BTC/USDT,SHORT,6.0,53.45,31,29.03,-0.2874,-1.343,0.6,1.4867,-1.0132,12.14,-1.04,-1.08,1.97
Engine B,BTC/USDT,SHORT,6.92,20.69,12,41.67,0.0183,0.048,1.032,1.412,-0.9771,3.54,-0.805,-1.06,1.97
Engine B,BTC/USDT,SHORT,7.0,20.69,12,41.67,0.0183,0.048,1.032,1.412,-0.9771,3.54,-0.805,-1.06,1.97
Engine B,BTC/USDT,LONG,4.0,100.0,72,37.5,-0.139,-0.988,0.78,1.3159,-1.012,16.96,-1.04,-1.16,1.78
Engine B,BTC/USDT,LONG,4.75,98.61,71,38.03,-0.1262,-0.888,0.799,1.3159,-1.0111,15.91,-1.04,-1.16,1.78
Engine B,BTC/USDT,LONG,4.8,79.17,57,42.11,-0.0118,-0.073,0.979,1.3329,-0.9897,7.65,-1.03,-1.1,1.78
Engine B,BTC/USDT,LONG,5.0,79.17,57,42.11,-0.0118,-0.073,0.979,1.3329,-0.9897,7.65,-1.03,-1.1,1.78
Engine B,BTC/USDT,LONG,5.75,55.56,40,45.0,0.0672,0.349,1.128,1.3211,-0.9586,5.91,-0.505,-1.1,1.75
Engine B,BTC/USDT,LONG,5.92,40.28,29,48.28,0.159,0.709,1.337,1.305,-0.9107,4.16,-0.06,-1.07,1.75
Engine B,BTC/USDT,LONG,6.0,40.28,29,48.28,0.159,0.709,1.337,1.305,-0.9107,4.16,-0.06,-1.07,1.75
Engine B,BTC/USDT,LONG,7.0,12.5,9,55.56,0.2056,0.534,1.518,1.084,-0.8925,2.61,0.22,-1.07,1.59
Engine B,GBP/USD,SHORT,3.75,100.0,73,26.03,-0.3527,-2.388,0.561,1.7316,-1.0861,27.85,-1.09,-1.19,1.92
