cost_adjusted_r,direction,engine,entry_price,entry_quality_class,entry_timeframe,entry_timestamp,execution_timeframe,exit_price,exit_timeframe,exit_timestamp,final_r,indicator_profile,intrabar_ambiguous,intrabar_exit_class,outcome,path_atr_at_entry,path_bars_to_first_minus_0_25r,path_bars_to_first_minus_0_5r,path_bars_to_first_plus_0_25r,path_bars_to_first_plus_0_5r,path_bars_to_first_plus_1_0r,path_bars_to_sl,path_bars_to_tp,path_entry_to_nearest_structure_distance,path_entry_to_stop_distance,path_entry_to_target_distance,path_mae_before_mfe,path_mae_r,path_max_unrealized_loss_before_profit,path_max_unrealized_profit_before_loss,path_mfe_before_mae,path_mfe_r,path_sl_distance_atr,path_spread_pct_of_sl_distance,path_spread_pct_of_tp_distance,path_time_in_trade_bars,path_touched_both_same_candle,path_touched_break_even,path_touched_plus_0_25r,path_touched_plus_0_5r,path_touched_plus_1_0r,path_touched_sl,path_touched_tp,path_tp_distance_atr,signal_timeframe,sl_price,symbol,tp_price
-1.3216,SHORT,ENGINE_A,1.15272,LATE_ENTRY,H1,2025-11-20T17:00:00+00:00,H1,,H1,,-1.3216,bar_native,False,SL_ONLY,SL,,,,,,,,,,0.0022699999999999942,0.005674999999999875,,-1.1145,0.0,0.0,,0.2731,,,,0,False,False,False,False,False,False,False,,H1,1.15499,EUR/USD,1.147045
0.7366,SHORT,ENGINE_A,1.15253,CLEAN_ENTRY,H1,2025-11-21T11:00:00+00:00,H1,,H1,,0.7366,bar_native,False,TP_ONLY,TP1,,,,,,,,,,0.0027200000000000557,0.005308370000000062,,-0.0662,0.0,0.0,,1.0551,,,,0,False,False,False,False,False,False,False,,H1,1.15525,EUR/USD,1.14722163
-0.8255,SHORT,ENGINE_A,1.15205,TP_TOO_FAR,H1,2025-11-21T15:00:00+00:00,H1,,H1,,-0.8255,bar_native,False,EXIT_BY_TIME,TIMEOUT,,,,,,,,,,0.0032000000000000917,0.007911830000000064,,-0.9375,0.0,0.0,,0.9156,,,,0,False,False,False,False,False,False,False,,H1,1.15525,EUR/USD,1.14413817
-1.3996,LONG,ENGINE_A,1.1595,LATE_ENTRY,H1,2025-11-27T15:00:00+00:00,H1,,H1,,-1.3996,bar_native,False,SL_ONLY,SL,,,,,,,,,,0.0018499999999999073,0.003481999999999985,,-1.5622,0.0,0.0,,0.3892,,,,0,False,False,False,False,False,False,False,,H1,1.15765,EUR/USD,1.162982
0.8245,LONG,ENGINE_A,1.1597,CLEAN_ENTRY,H1,2025-12-01T05:00:00+00:00,H1,,H1,,0.8245,bar_native,False,TP_ONLY,TP1,,,,,,,,,,0.004189999999999916,0.007635920000000018,,-0.1575,0.0,0.0,,1.2411,,,,0,False,False,False,False,False,False,False,,H1,1.15551,EUR/USD,1.16733592
-1.8439,LONG,ENGINE_A,1.16123,LATE_ENTRY,H1,2025-12-02T05:00:00+00:00,H1,,H1,,-1.8439,bar_native,False,SL_ONLY,SL,,,,,,,,,,0.0008399999999999519,0.0012600000000000389,,-1.1786,0.0,0.0,,0.4762,,,,0,False,False,False,False,False,False,False,,H1,1.16039,EUR/USD,1.16249
0.1526,LONG,ENGINE_A,1.16428,CLEAN_ENTRY,H1,2025-12-03T08:00:00+00:00,H1,,H1,,0.1526,bar_native,False,EXIT_BY_TIME,TIMEOUT,,,,,,,,,,0.005149999999999988,0.007749999999999924,,-0.1379,0.0,0.0,,0.6816,,,,0,False,False,False,False,False,False,False,,H1,1.15913,EUR/USD,1.17203
0.4355,LONG,ENGINE_A,1.16654,CLEAN_ENTRY,H1,2025-12-04T09:00:00+00:00,H1,,H1,,0.4355,bar_native,False,TP_ONLY,TP1,,,,,,,,,,0.0012399999999999078,0.0018600000000001948,,-0.1694,0.0,0.0,,1.3468,,,,0,False,False,False,False,False,False,False,,H1,1.1653,EUR/USD,1.1684
-1.3966,LONG,ENGINE_A,1.16697,LATE_ENTRY,H1,2025-12-04T16:00:00+00:00,H1,,H1,,-1.3966,bar_native,False,SL_ONLY,SL,,,,,,,,,,0.0017899999999999583,0.0035125000000000295,,-1.0838,0.0,0.0,,0.2793,,,,0,False,False,False,False,False,False,False,,H1,1.16518,EUR/USD,1.1704825
-1.4021,LONG,ENGINE_A,1.16591,TP_TOO_FAR,H1,2025-12-05T07:00:00+00:00,H1,,H1,,-1.4021,bar_native,False,SL_ONLY,SL,,,,,,,,,,0.0018000000000000238,0.002674999999999983,,-1.7167,0.0,0.0,,0.7,,,,0,False,False,False,False,False,False,False,,H1,1.16411,EUR/USD,1.168585
-1.3109,LONG,ENGINE_A,1.16517,TP_TOO_FAR,H1,2025-12-08T03:00:00+00:00,H1,,H1,,-1.3109,bar_native,False,SL_ONLY,SL,,,,,,,,,,0.0023500000000000743,0.003474999999999895,,-1.4766,0.0,0.0,,0.8681,,,,0,False,False,False,False,False,False,False,,H1,1.16282,EUR/USD,1.168645
0.7024,LONG,ENGINE_A,1.16402,CLEAN_ENTRY,H1,2025-12-10T15:00:00+00:00,H1,,H1,,0.7024,bar_native,False,TP_ONLY,TP1,,,,,,,,,,0.0023200000000000998,0.004029249999999873,,-0.2802,0.0,0.0,,1.75,,,,0,False,False,False,False,False,False,False,,H1,1.1617,EUR/USD,1.16804925
0.8906,LONG,ENGINE_A,1.16936,CLEAN_ENTRY,H1,2025-12-11T09:00:00+00:00,H1,,H1,,0.8906,bar_native,False,TP_ONLY,TP1,,,,,,,,,,0.006589999999999874,0.013536960000000153,,-0.0941,0.0,0.0,,1.003,,,,0,False,False,False,False,False,False,False,,H1,1.16277,EUR/USD,1.18289696
-0.0673,LONG,ENGINE_A,1.17361,UNCLASSIFIED,H1,2025-12-12T04:00:00+00:00,H1,,H1,,-0.0673,bar_native,False,EXIT_BY_TIME,TIMEOUT,,,,,,,,,,0.004870000000000152,0.009009499999999893,,-0.3388,0.0,0.0,,0.2854,,,,0,False,False,False,False,False,False,False,,H1,1.16874,EUR/USD,1.1826195
